sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores
0,0,0.055,80,35,2800
1,0,0.055,80,35,2800
2,0,0.055,80,35,2800
3,0,0.055,80,35,2800
4,0,0.055,80,35,2800
5,0,0.055,80,35,2800
6,0,0.055,80,35,2800
7,0,0.055,80,35,2800
8,0,0.055,80,35,2800
9,0,0.055,80,35,2800
10,0,0.055,80,35,2800
11,0,0.055,80,35,2800
12,0,0.055,80,35,2800
13,0,0.055,80,35,2800
14,0,0.055,80,35,2800
15,0,0.055,80,35,2800
16,0,0.055,80,35,2800
17,0,0.055,80,35,2800
18,0,0.055,80,35,2800
19,0,0.055,80,35,2800
20,0,0.055,80,35,2800
21,0,0.055,80,35,2800
22,0,0.055,80,35,2800
23,0,0.055,80,35,2800
24,0,0.055,80,35,2800
25,0,0.055,80,35,2800
26,0,0.055,80,35,2800
27,0,0.055,80,35,2800
28,0,0.055,80,35,2800
29,0,0.055,80,35,2800
30,0,0.055,80,35,2800
31,0,0.055,80,35,2800
32,0,0.055,80,35,2800
33,0,0.055,80,35,2800
34,0,0.055,80,35,2800
35,0,0.055,80,35,2800
36,0,0.055,80,35,2800
37,0,0.055,80,35,2800
38,0,0.055,80,35,2800
39,0,0.055,80,35,2800
40,0,0.055,80,35,2800
41,0,0.055,80,35,2800
42,0,0.055,80,35,2800
43,0,0.055,80,35,2800
44,0,0.055,80,35,2800
45,0,0.055,80,35,2800
46,0,0.055,80,35,2800
47,0,0.055,80,35,2800
48,0,0.055,80,35,2800
49,0,0.055,80,35,2800
50,0,0.055,80,35,2800
51,0,0.055,80,35,2800
52,0,0.055,80,35,2800
53,0,0.055,80,35,2800
54,0,0.055,80,35,2800
55,0,0.055,80,35,2800
56,0,0.055,80,35,2800
57,0,0.055,80,35,2800
58,0,0.055,80,35,2800
59,0,0.055,80,35,2800
60,0,0.055,80,35,2800
61,0,0.055,80,35,2800
62,0,0.055,80,35,2800
63,0,0.055,80,35,2800
64,0,0.055,80,35,2800
65,0,0.055,80,35,2800
66,0,0.055,80,35,2800
67,0,0.055,80,35,2800
68,0,0.055,80,35,2800
69,0,0.055,80,35,2800
70,0,0.055,80,35,2800
71,0,0.055,80,35,2800
72,0,0.055,80,35,2800
73,0,0.055,80,35,2800
74,0,0.055,80,35,2800
75,0,0.055,80,35,2800
76,0,0.055,80,35,2800
77,0,0.055,80,35,2800
78,0,0.055,80,35,2800
79,0,0.055,80,35,2800
80,0,0.055,80,35,2800
81,0,0.055,80,35,2800
82,0,0.055,80,35,2800
83,0,0.055,80,35,2800
84,0,0.055,80,35,2800
85,0,0.055,80,35,2800
86,0,0.055,80,35,2800
87,0,0.055,80,35,2800
88,0,0.055,80,35,2800
89,0,0.055,80,35,2800
90,0,0.055,80,35,2800
91,0,0.055,80,35,2800
92,0,0.055,80,35,2800
93,0,0.055,80,35,2800
94,0,0.055,80,35,2800
95,0,0.055,80,35,2800
96,0,0.055,80,35,2800
97,0,0.055,80,35,2800
98,0,0.055,80,35,2800
99,0,0.055,80,35,2800
100,0,0.055,80,35,2800
101,0,0.055,80,35,2800
102,0,0.055,80,35,2800
103,0,0.055,80,35,2800
104,0,0.055,80,35,2800
105,0,0.055,80,35,2800
106,0,0.055,80,35,2800
107,0,0.055,80,35,2800
108,0,0.055,80,35,2800
109,0,0.055,80,35,2800
110,0,0.055,80,35,2800
111,0,0.055,80,35,2800
112,0,0.055,80,35,2800
113,0,0.055,80,35,2800
114,0,0.055,80,35,2800
115,0,0.055,80,35,2800
116,0,0.055,80,35,2800
117,0,0.055,80,35,2800
118,0,0.055,80,35,2800
119,0,0.055,80,35,2800
120,0,0.055,80,35,2800
121,0,0.055,80,35,2800
122,0,0.055,80,35,2800
123,0,0.055,80,35,2800
124,0,0.055,80,35,2800
125,0,0.055,80,35,2800
126,0,0.055,80,35,2800
127,0,0.055,80,35,2800
128,0,0.055,80,35,2800
129,0,0.055,80,35,2800
130,0,0.055,80,35,2800
131,0,0.055,80,35,2800
132,0,0.055,80,35,2800
133,0,0.055,80,35,2800
134,0,0.055,80,35,2800
135,0,0.055,80,35,2800
136,0,0.055,80,35,2800
137,0,0.055,80,35,2800
138,0,0.055,80,35,2800
139,0,0.055,80,35,2800
140,0,0.055,80,35,2800
141,0,0.055,80,35,2800
142,0,0.055,80,35,2800
143,0,0.055,80,35,2800
144,0,0.055,80,35,2800
145,0,0.055,80,35,2800
146,0,0.055,80,35,2800
147,0,0.055,80,35,2800
148,0,0.055,80,35,2800
149,0,0.055,80,35,2800
