sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores
0,0,0.055,38,69,2622
1,0,0.055,38,69,2622
2,0,0.055,38,69,2622
3,0,0.055,38,69,2622
4,0,0.055,38,69,2622
5,0,0.055,38,69,2622
6,0,0.055,38,69,2622
7,0,0.055,38,69,2622
8,0,0.055,38,69,2622
9,0,0.055,38,69,2622
10,0,0.055,38,69,2622
11,0,0.055,38,69,2622
12,0,0.055,38,69,2622
13,0,0.055,38,69,2622
14,0,0.055,38,69,2622
15,0,0.055,38,69,2622
16,0,0.055,38,69,2622
17,0,0.055,38,69,2622
18,0,0.055,38,69,2622
19,0,0.055,38,69,2622
20,0,0.055,38,69,2622
21,0,0.055,38,69,2622
22,0,0.055,38,69,2622
23,0,0.055,38,69,2622
24,0,0.055,38,69,2622
25,0,0.055,38,69,2622
26,0,0.055,38,69,2622
27,0,0.055,38,69,2622
28,0,0.055,38,69,2622
29,0,0.055,38,69,2622
30,0,0.055,38,69,2622
31,0,0.055,38,69,2622
32,0,0.055,38,69,2622
33,0,0.055,38,69,2622
34,0,0.055,38,69,2622
35,0,0.055,38,69,2622
36,0,0.055,38,69,2622
37,0,0.055,38,69,2622
38,0,0.055,38,69,2622
39,0,0.055,38,69,2622
40,0,0.055,38,69,2622
41,0,0.055,38,69,2622
42,0,0.055,38,69,2622
43,0,0.055,38,69,2622
44,0,0.055,38,69,2622
45,0,0.055,38,69,2622
46,0,0.055,38,69,2622
47,0,0.055,38,69,2622
48,0,0.055,38,69,2622
49,0,0.055,38,69,2622
50,0,0.055,38,69,2622
51,0,0.055,38,69,2622
52,0,0.055,38,69,2622
53,0,0.055,38,69,2622
54,0,0.055,38,69,2622
55,0,0.055,38,69,2622
56,0,0.055,38,69,2622
57,0,0.055,38,69,2622
58,0,0.055,38,69,2622
59,0,0.055,38,69,2622
60,0,0.055,38,69,2622
61,0,0.055,38,69,2622
62,0,0.055,38,69,2622
63,0,0.055,38,69,2622
64,0,0.055,38,69,2622
65,0,0.055,38,69,2622
66,0,0.055,38,69,2622
67,0,0.055,38,69,2622
68,0,0.055,38,69,2622
69,0,0.055,38,69,2622
70,0,0.055,38,69,2622
71,0,0.055,38,69,2622
72,0,0.055,38,69,2622
73,0,0.055,38,69,2622
74,0,0.055,38,69,2622
75,0,0.055,38,69,2622
76,0,0.055,38,69,2622
77,0,0.055,38,69,2622
78,0,0.055,38,69,2622
79,0,0.055,38,69,2622
80,0,0.055,38,69,2622
81,0,0.055,38,69,2622
82,0,0.055,38,69,2622
83,0,0.055,38,69,2622
84,0,0.055,38,69,2622
85,0,0.055,38,69,2622
86,0,0.055,38,69,2622
87,0,0.055,38,69,2622
88,0,0.055,38,69,2622
89,0,0.055,38,69,2622
90,0,0.055,38,69,2622
91,0,0.055,38,69,2622
92,0,0.055,38,69,2622
93,0,0.055,38,69,2622
94,0,0.055,38,69,2622
95,0,0.055,38,69,2622
96,0,0.055,38,69,2622
97,0,0.055,38,69,2622
98,0,0.055,38,69,2622
99,0,0.055,38,69,2622
100,0,0.055,38,69,2622
101,0,0.055,38,69,2622
102,0,0.055,38,69,2622
103,0,0.055,38,69,2622
104,0,0.055,38,69,2622
105,0,0.055,38,69,2622
106,0,0.055,38,69,2622
107,0,0.055,38,69,2622
108,0,0.055,38,69,2622
109,0,0.055,38,69,2622
110,0,0.055,38,69,2622
111,0,0.055,38,69,2622
112,0,0.055,38,69,2622
113,0,0.055,38,69,2622
114,0,0.055,38,69,2622
115,0,0.055,38,69,2622
116,0,0.055,38,69,2622
117,0,0.055,38,69,2622
118,0,0.055,38,69,2622
119,0,0.055,38,69,2622
120,0,0.055,38,69,2622
121,0,0.055,38,69,2622
122,0,0.055,38,69,2622
123,0,0.055,38,69,2622
124,0,0.055,38,69,2622
125,0,0.055,38,69,2622
126,0,0.055,38,69,2622
127,0,0.055,38,69,2622
128,0,0.055,38,69,2622
129,0,0.055,38,69,2622
130,0,0.055,38,69,2622
131,0,0.055,38,69,2622
132,0,0.055,38,69,2622
133,0,0.055,38,69,2622
134,0,0.055,38,69,2622
135,0,0.055,38,69,2622
136,0,0.055,38,69,2622
137,0,0.055,38,69,2622
138,0,0.055,38,69,2622
139,0,0.055,38,69,2622
140,0,0.055,38,69,2622
141,0,0.055,38,69,2622
142,0,0.055,38,69,2622
143,0,0.055,38,69,2622
