trial_id,sim_cordel_id,sim_topic_id,sim_rater_id,cordel_id,topic_id,rater_id,intrusion
0,0,4,0,4,46,300,1
0,0,8,0,4,33,300,0
0,0,9,0,1,9,300,1
0,0,10,0,4,20,300,0
0,0,14,0,0,27,300,0
0,0,15,0,0,44,300,0
0,0,16,0,1,19,300,0
0,0,17,0,1,22,300,1
0,0,19,0,3,18,300,1
0,0,21,0,1,27,300,1
0,0,25,0,0,34,300,1
0,0,27,0,3,47,300,1
0,0,30,0,2,4,300,0
0,0,33,0,4,0,300,0
0,0,36,0,4,9,300,0
0,0,37,0,0,44,300,0
0,0,39,0,0,27,300,0
0,0,43,0,3,17,300,1
0,1,51,0,2,43,300,1
0,1,53,0,2,23,300,1
0,1,56,0,1,21,300,1
0,1,58,0,4,47,300,1
0,1,61,0,0,37,300,0
0,1,66,0,1,15,300,0
0,1,68,0,4,38,300,1
0,1,69,0,2,49,300,1
0,1,70,0,2,45,300,0
0,1,74,0,2,4,300,0
0,1,77,0,3,22,300,0
0,1,78,0,0,27,300,0
0,1,79,0,4,43,300,0
0,1,82,0,3,20,300,0
0,1,83,0,4,38,300,1
0,1,84,0,3,48,300,0
0,1,86,0,5,44,300,1
0,1,92,0,2,29,300,0
0,1,93,0,3,34,300,1
0,1,96,0,0,41,300,0
0,0,0,1,3,24,195,1
0,0,1,1,0,41,195,0
0,0,2,1,2,0,195,0
0,0,7,1,5,12,195,1
0,0,13,1,5,34,195,1
0,0,15,1,0,44,195,0
0,0,16,1,1,19,195,1
0,0,17,1,1,22,195,1
0,0,20,1,0,43,195,0
0,0,22,1,5,28,195,0
0,0,27,1,3,47,195,1
0,0,28,1,5,2,195,1
0,0,32,1,3,25,195,1
0,0,33,1,4,0,195,0
0,0,34,1,0,26,195,1
0,0,35,1,2,29,195,1
0,0,36,1,4,9,195,1
0,0,38,1,2,35,195,0
0,0,39,1,0,27,195,0
0,0,43,1,3,17,195,0
0,0,46,1,2,47,195,0
0,0,47,1,2,38,195,0
0,0,49,1,2,42,195,1
0,1,52,1,5,44,195,1
0,1,64,1,2,33,195,1
0,1,65,1,1,33,195,1
0,1,67,1,0,11,195,0
0,1,68,1,4,38,195,1
0,1,71,1,0,27,195,0
0,1,74,1,2,4,195,0
0,1,75,1,0,13,195,0
0,1,84,1,3,48,195,0
0,1,85,1,2,25,195,1
0,1,87,1,2,42,195,1
0,1,88,1,0,7,195,1
0,1,93,1,3,34,195,1
0,1,94,1,2,49,195,0
0,1,95,1,0,21,195,1
0,0,3,2,4,1,86,1
0,0,4,2,4,46,86,1
0,0,5,2,1,14,86,1
