sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores
0,0,0.055,106,35,3710
1,0,0.055,108,35,3780
2,0,0.055,136,35,4760
3,0,0.055,43,35,1505
4,0,0.055,45,35,1575
5,0,0.055,63,35,2205
6,0,0.055,69,35,2415
7,0,0.055,143,35,5005
8,0,0.055,141,35,4935
9,0,0.055,60,35,2100
10,0,0.055,84,35,2940
11,0,0.055,118,35,4130
12,0,0.055,135,35,4725
13,0,0.055,83,35,2905
14,0,0.055,143,35,5005
15,0,0.055,48,35,1680
16,0,0.055,140,35,4900
17,0,0.055,82,35,2870
18,0,0.055,101,35,3535
19,0,0.055,137,35,4795
20,0,0.055,123,35,4305
21,0,0.055,57,35,1995
22,0,0.055,45,35,1575
23,0,0.055,41,35,1435
24,0,0.055,99,35,3465
25,0,0.055,48,35,1680
26,0,0.055,143,35,5005
27,0,0.055,92,35,3220
28,0,0.055,108,35,3780
29,0,0.055,100,35,3500
30,0,0.055,129,35,4515
31,0,0.055,51,35,1785
32,0,0.055,149,35,5215
33,0,0.055,59,35,2065
34,0,0.055,77,35,2695
35,0,0.055,70,35,2450
36,0,0.055,64,35,2240
37,0,0.055,63,35,2205
38,0,0.055,93,35,3255
39,0,0.055,34,35,1190
40,0,0.055,44,35,1540
41,0,0.055,75,35,2625
42,0,0.055,105,35,3675
43,0,0.055,61,35,2135
44,0,0.055,55,35,1925
45,0,0.055,96,35,3360
46,0,0.055,141,35,4935
47,0,0.055,45,35,1575
48,0,0.055,53,35,1855
49,0,0.055,55,35,1925
50,0,0.055,25,35,875
51,0,0.055,108,35,3780
52,0,0.055,104,35,3640
53,0,0.055,31,35,1085
54,0,0.055,122,35,4270
55,0,0.055,106,35,3710
56,0,0.055,73,35,2555
57,0,0.055,22,35,770
58,0,0.055,28,35,980
59,0,0.055,69,35,2415
60,0,0.055,36,35,1260
61,0,0.055,54,35,1890
62,0,0.055,113,35,3955
63,0,0.055,76,35,2660
64,0,0.055,64,35,2240
65,0,0.055,135,35,4725
66,0,0.055,56,35,1960
67,0,0.055,87,35,3045
68,0,0.055,97,35,3395
69,0,0.055,31,35,1085
70,0,0.055,55,35,1925
71,0,0.055,57,35,1995
72,0,0.055,93,35,3255
73,0,0.055,79,35,2765
74,0,0.055,60,35,2100
75,0,0.055,85,35,2975
76,0,0.055,48,35,1680
77,0,0.055,65,35,2275
78,0,0.055,52,35,1820
79,0,0.055,21,35,735
80,0,0.055,144,35,5040
81,0,0.055,120,35,4200
82,0,0.055,103,35,3605
83,0,0.055,85,35,2975
84,0,0.055,80,35,2800
85,0,0.055,88,35,3080
86,0,0.055,21,35,735
87,0,0.055,144,35,5040
88,0,0.055,88,35,3080
89,0,0.055,39,35,1365
90,0,0.055,95,35,3325
91,0,0.055,69,35,2415
92,0,0.055,95,35,3325
93,0,0.055,140,35,4900
94,0,0.055,43,35,1505
95,0,0.055,31,35,1085
96,0,0.055,93,35,3255
97,0,0.055,99,35,3465
98,0,0.055,40,35,1400
99,0,0.055,60,35,2100
100,0,0.055,125,35,4375
101,0,0.055,116,35,4060
102,0,0.055,80,35,2800
103,0,0.055,129,35,4515
104,0,0.055,84,35,2940
105,0,0.055,45,35,1575
106,0,0.055,87,35,3045
107,0,0.055,103,35,3605
108,0,0.055,22,35,770
109,0,0.055,140,35,4900
110,0,0.055,20,35,700
111,0,0.055,147,35,5145
112,0,0.055,110,35,3850
113,0,0.055,40,35,1400
114,0,0.055,142,35,4970
115,0,0.055,71,35,2485
116,0,0.055,31,35,1085
117,0,0.055,107,35,3745
118,0,0.055,89,35,3115
119,0,0.055,63,35,2205
120,0,0.055,27,35,945
121,0,0.055,148,35,5180
122,0,0.055,26,35,910
123,0,0.055,123,35,4305
124,0,0.055,78,35,2730
125,0,0.055,54,35,1890
126,0,0.055,66,35,2310
127,0,0.055,126,35,4410
128,0,0.055,75,35,2625
129,0,0.055,50,35,1750
130,0,0.055,22,35,770
131,0,0.055,142,35,4970
132,0,0.055,74,35,2590
133,0,0.055,79,35,2765
134,0,0.055,81,35,2835
135,0,0.055,75,35,2625
136,0,0.055,41,35,1435
137,0,0.055,46,35,1610
138,0,0.055,33,35,1155
139,0,0.055,62,35,2170
140,0,0.055,113,35,3955
141,0,0.055,138,35,4830
142,0,0.055,92,35,3220
143,0,0.055,89,35,3115
144,0,0.055,80,35,2800
145,0,0.055,34,35,1190
146,0,0.055,86,35,3010
147,0,0.055,42,35,1470
148,0,0.055,64,35,2240
149,0,0.055,53,35,1855
150,0,0.055,131,35,4585
151,0,0.055,124,35,4340
152,0,0.055,121,35,4235
153,0,0.055,119,35,4165
154,0,0.055,26,35,910
155,0,0.055,116,35,4060
156,0,0.055,57,35,1995
157,0,0.055,82,35,2870
158,0,0.055,129,35,4515
159,0,0.055,73,35,2555
160,0,0.055,80,35,2800
161,0,0.055,126,35,4410
162,0,0.055,57,35,1995
163,0,0.055,93,35,3255
164,0,0.055,148,35,5180
165,0,0.055,31,35,1085
166,0,0.055,96,35,3360
167,0,0.055,24,35,840
168,0,0.055,112,35,3920
169,0,0.055,65,35,2275
170,0,0.055,30,35,1050
171,0,0.055,107,35,3745
172,0,0.055,59,35,2065
173,0,0.055,103,35,3605
174,0,0.055,29,35,1015
175,0,0.055,32,35,1120
176,0,0.055,33,35,1155
177,0,0.055,33,35,1155
178,0,0.055,36,35,1260
179,0,0.055,107,35,3745
180,0,0.055,71,35,2485
181,0,0.055,56,35,1960
182,0,0.055,108,35,3780
183,0,0.055,52,35,1820
184,0,0.055,61,35,2135
185,0,0.055,99,35,3465
186,0,0.055,26,35,910
187,0,0.055,139,35,4865
188,0,0.055,34,35,1190
189,0,0.055,48,35,1680
190,0,0.055,33,35,1155
191,0,0.055,20,35,700
192,0,0.055,118,35,4130
193,0,0.055,119,35,4165
194,0,0.055,127,35,4445
195,0,0.055,141,35,4935
196,0,0.055,55,35,1925
197,0,0.055,107,35,3745
198,0,0.055,107,35,3745
199,0,0.055,58,35,2030
200,0,0.055,128,35,4480
201,0,0.055,110,35,3850
202,0,0.055,60,35,2100
203,0,0.055,27,35,945
204,0,0.055,123,35,4305
205,0,0.055,64,35,2240
206,0,0.055,141,35,4935
207,0,0.055,39,35,1365
208,0,0.055,86,35,3010
209,0,0.055,90,35,3150
210,0,0.055,25,35,875
211,0,0.055,116,35,4060
212,0,0.055,123,35,4305
213,0,0.055,142,35,4970
214,0,0.055,96,35,3360
215,0,0.055,37,35,1295
216,0,0.055,46,35,1610
217,0,0.055,67,35,2345
218,0,0.055,133,35,4655
219,0,0.055,115,35,4025
220,0,0.055,57,35,1995
221,0,0.055,57,35,1995
222,0,0.055,80,35,2800
223,0,0.055,137,35,4795
224,0,0.055,122,35,4270
225,0,0.055,61,35,2135
226,0,0.055,71,35,2485
227,0,0.055,147,35,5145
228,0,0.055,52,35,1820
229,0,0.055,42,35,1470
230,0,0.055,64,35,2240
231,0,0.055,28,35,980
232,0,0.055,24,35,840
233,0,0.055,92,35,3220
234,0,0.055,133,35,4655
235,0,0.055,80,35,2800
236,0,0.055,65,35,2275
237,0,0.055,100,35,3500
238,0,0.055,149,35,5215
239,0,0.055,139,35,4865
240,0,0.055,73,35,2555
241,0,0.055,125,35,4375
242,0,0.055,70,35,2450
243,0,0.055,144,35,5040
244,0,0.055,87,35,3045
245,0,0.055,59,35,2065
246,0,0.055,22,35,770
247,0,0.055,68,35,2380
248,0,0.055,141,35,4935
249,0,0.055,89,35,3115
250,0,0.055,20,35,700
251,0,0.055,116,35,4060
252,0,0.055,60,35,2100
253,0,0.055,81,35,2835
254,0,0.055,21,35,735
255,0,0.055,36,35,1260
256,0,0.055,48,35,1680
257,0,0.055,134,35,4690
258,0,0.055,53,35,1855
259,0,0.055,75,35,2625
260,0,0.055,136,35,4760
261,0,0.055,137,35,4795
262,0,0.055,85,35,2975
263,0,0.055,81,35,2835
264,0,0.055,22,35,770
265,0,0.055,111,35,3885
266,0,0.055,70,35,2450
267,0,0.055,41,35,1435
268,0,0.055,77,35,2695
269,0,0.055,137,35,4795
270,0,0.055,52,35,1820
271,0,0.055,132,35,4620
272,0,0.055,132,35,4620
273,0,0.055,33,35,1155
274,0,0.055,92,35,3220
275,0,0.055,60,35,2100
276,0,0.055,115,35,4025
277,0,0.055,51,35,1785
278,0,0.055,109,35,3815
279,0,0.055,77,35,2695
280,0,0.055,127,35,4445
281,0,0.055,79,35,2765
282,0,0.055,44,35,1540
283,0,0.055,58,35,2030
284,0,0.055,73,35,2555
285,0,0.055,49,35,1715
286,0,0.055,100,35,3500
287,0,0.055,83,35,2905
288,0,0.055,73,35,2555
289,0,0.055,48,35,1680
290,0,0.055,116,35,4060
291,0,0.055,104,35,3640
292,0,0.055,58,35,2030
293,0,0.055,101,35,3535
294,0,0.055,49,35,1715
295,0,0.055,129,35,4515
296,0,0.055,115,35,4025
297,0,0.055,131,35,4585
298,0,0.055,123,35,4305
299,0,0.055,74,35,2590
300,0,0.055,90,35,3150
301,0,0.055,126,35,4410
302,0,0.055,89,35,3115
303,0,0.055,98,35,3430
304,0,0.055,36,35,1260
305,0,0.055,115,35,4025
306,0,0.055,112,35,3920
307,0,0.055,29,35,1015
308,0,0.055,88,35,3080
309,0,0.055,118,35,4130
310,0,0.055,39,35,1365
311,0,0.055,41,35,1435
312,0,0.055,111,35,3885
313,0,0.055,42,35,1470
314,0,0.055,100,35,3500
315,0,0.055,48,35,1680
316,0,0.055,132,35,4620
317,0,0.055,116,35,4060
318,0,0.055,79,35,2765
319,0,0.055,82,35,2870
320,0,0.055,85,35,2975
321,0,0.055,74,35,2590
322,0,0.055,64,35,2240
323,0,0.055,122,35,4270
324,0,0.055,52,35,1820
325,0,0.055,68,35,2380
326,0,0.055,67,35,2345
327,0,0.055,141,35,4935
328,0,0.055,69,35,2415
329,0,0.055,36,35,1260
330,0,0.055,97,35,3395
331,0,0.055,126,35,4410
332,0,0.055,147,35,5145
333,0,0.055,77,35,2695
334,0,0.055,65,35,2275
335,0,0.055,146,35,5110
336,0,0.055,119,35,4165
337,0,0.055,126,35,4410
338,0,0.055,93,35,3255
339,0,0.055,66,35,2310
340,0,0.055,135,35,4725
341,0,0.055,73,35,2555
342,0,0.055,109,35,3815
343,0,0.055,25,35,875
344,0,0.055,74,35,2590
345,0,0.055,63,35,2205
346,0,0.055,47,35,1645
347,0,0.055,48,35,1680
348,0,0.055,40,35,1400
349,0,0.055,44,35,1540
350,0,0.055,81,35,2835
351,0,0.055,114,35,3990
352,0,0.055,71,35,2485
353,0,0.055,97,35,3395
354,0,0.055,123,35,4305
355,0,0.055,68,35,2380
356,0,0.055,126,35,4410
357,0,0.055,137,35,4795
358,0,0.055,139,35,4865
359,0,0.055,147,35,5145
360,0,0.055,135,35,4725
361,0,0.055,68,35,2380
362,0,0.055,139,35,4865
363,0,0.055,29,35,1015
364,0,0.055,145,35,5075
365,0,0.055,93,35,3255
366,0,0.055,124,35,4340
367,0,0.055,64,35,2240
368,0,0.055,112,35,3920
369,0,0.055,63,35,2205
370,0,0.055,83,35,2905
371,0,0.055,112,35,3920
372,0,0.055,146,35,5110
373,0,0.055,34,35,1190
374,0,0.055,103,35,3605
375,0,0.055,59,35,2065
376,0,0.055,98,35,3430
377,0,0.055,33,35,1155
378,0,0.055,36,35,1260
379,0,0.055,108,35,3780
380,0,0.055,24,35,840
381,0,0.055,74,35,2590
382,0,0.055,145,35,5075
383,0,0.055,90,35,3150
384,0,0.055,89,35,3115
385,0,0.055,20,35,700
386,0,0.055,87,35,3045
387,0,0.055,92,35,3220
388,0,0.055,45,35,1575
389,0,0.055,57,35,1995
390,0,0.055,79,35,2765
391,0,0.055,24,35,840
392,0,0.055,120,35,4200
393,0,0.055,116,35,4060
394,0,0.055,135,35,4725
395,0,0.055,42,35,1470
396,0,0.055,29,35,1015
397,0,0.055,89,35,3115
398,0,0.055,60,35,2100
399,0,0.055,109,35,3815
400,0,0.055,128,35,4480
401,0,0.055,128,35,4480
402,0,0.055,128,35,4480
403,0,0.055,129,35,4515
404,0,0.055,21,35,735
405,0,0.055,78,35,2730
406,0,0.055,52,35,1820
407,0,0.055,129,35,4515
408,0,0.055,144,35,5040
409,0,0.055,149,35,5215
410,0,0.055,145,35,5075
411,0,0.055,131,35,4585
412,0,0.055,144,35,5040
413,0,0.055,124,35,4340
414,0,0.055,52,35,1820
415,0,0.055,92,35,3220
416,0,0.055,20,35,700
417,0,0.055,95,35,3325
418,0,0.055,96,35,3360
419,0,0.055,22,35,770
420,0,0.055,64,35,2240
421,0,0.055,127,35,4445
422,0,0.055,145,35,5075
423,0,0.055,79,35,2765
424,0,0.055,91,35,3185
425,0,0.055,23,35,805
426,0,0.055,115,35,4025
427,0,0.055,121,35,4235
428,0,0.055,84,35,2940
429,0,0.055,137,35,4795
430,0,0.055,102,35,3570
431,0,0.055,35,35,1225
432,0,0.055,74,35,2590
433,0,0.055,85,35,2975
434,0,0.055,77,35,2695
435,0,0.055,123,35,4305
436,0,0.055,68,35,2380
437,0,0.055,136,35,4760
438,0,0.055,37,35,1295
439,0,0.055,125,35,4375
440,0,0.055,138,35,4830
441,0,0.055,71,35,2485
442,0,0.055,108,35,3780
443,0,0.055,51,35,1785
444,0,0.055,138,35,4830
445,0,0.055,127,35,4445
446,0,0.055,114,35,3990
447,0,0.055,48,35,1680
448,0,0.055,83,35,2905
449,0,0.055,108,35,3780
450,0,0.055,139,35,4865
451,0,0.055,61,35,2135
452,0,0.055,34,35,1190
453,0,0.055,46,35,1610
454,0,0.055,95,35,3325
455,0,0.055,31,35,1085
456,0,0.055,117,35,4095
457,0,0.055,47,35,1645
458,0,0.055,37,35,1295
459,0,0.055,105,35,3675
460,0,0.055,87,35,3045
461,0,0.055,146,35,5110
462,0,0.055,120,35,4200
463,0,0.055,145,35,5075
464,0,0.055,63,35,2205
465,0,0.055,46,35,1610
466,0,0.055,101,35,3535
467,0,0.055,71,35,2485
468,0,0.055,134,35,4690
469,0,0.055,64,35,2240
470,0,0.055,106,35,3710
471,0,0.055,103,35,3605
472,0,0.055,61,35,2135
473,0,0.055,147,35,5145
474,0,0.055,33,35,1155
475,0,0.055,105,35,3675
476,0,0.055,106,35,3710
477,0,0.055,128,35,4480
478,0,0.055,141,35,4935
479,0,0.055,143,35,5005
480,0,0.055,55,35,1925
481,0,0.055,88,35,3080
482,0,0.055,53,35,1855
483,0,0.055,52,35,1820
484,0,0.055,120,35,4200
485,0,0.055,83,35,2905
486,0,0.055,88,35,3080
487,0,0.055,32,35,1120
488,0,0.055,105,35,3675
489,0,0.055,144,35,5040
490,0,0.055,61,35,2135
491,0,0.055,145,35,5075
492,0,0.055,80,35,2800
493,0,0.055,112,35,3920
494,0,0.055,118,35,4130
495,0,0.055,135,35,4725
496,0,0.055,48,35,1680
497,0,0.055,88,35,3080
498,0,0.055,54,35,1890
499,0,0.055,73,35,2555
500,0,0.055,128,35,4480
501,0,0.055,136,35,4760
502,0,0.055,34,35,1190
503,0,0.055,30,35,1050
504,0,0.055,107,35,3745
505,0,0.055,80,35,2800
506,0,0.055,55,35,1925
507,0,0.055,136,35,4760
508,0,0.055,70,35,2450
509,0,0.055,113,35,3955
510,0,0.055,51,35,1785
511,0,0.055,111,35,3885
512,0,0.055,71,35,2485
513,0,0.055,83,35,2905
514,0,0.055,113,35,3955
515,0,0.055,38,35,1330
516,0,0.055,29,35,1015
517,0,0.055,74,35,2590
518,0,0.055,47,35,1645
519,0,0.055,141,35,4935
520,0,0.055,24,35,840
521,0,0.055,46,35,1610
522,0,0.055,42,35,1470
523,0,0.055,141,35,4935
524,0,0.055,90,35,3150
525,0,0.055,133,35,4655
526,0,0.055,48,35,1680
527,0,0.055,45,35,1575
528,0,0.055,101,35,3535
529,0,0.055,117,35,4095
530,0,0.055,59,35,2065
531,0,0.055,57,35,1995
532,0,0.055,24,35,840
533,0,0.055,104,35,3640
534,0,0.055,131,35,4585
535,0,0.055,94,35,3290
536,0,0.055,71,35,2485
537,0,0.055,61,35,2135
538,0,0.055,104,35,3640
539,0,0.055,139,35,4865
540,0,0.055,149,35,5215
541,0,0.055,73,35,2555
542,0,0.055,104,35,3640
543,0,0.055,55,35,1925
544,0,0.055,91,35,3185
545,0,0.055,88,35,3080
546,0,0.055,120,35,4200
547,0,0.055,68,35,2380
548,0,0.055,96,35,3360
549,0,0.055,60,35,2100
550,0,0.055,110,35,3850
551,0,0.055,117,35,4095
552,0,0.055,95,35,3325
553,0,0.055,77,35,2695
554,0,0.055,68,35,2380
555,0,0.055,116,35,4060
556,0,0.055,110,35,3850
557,0,0.055,134,35,4690
558,0,0.055,90,35,3150
559,0,0.055,29,35,1015
560,0,0.055,125,35,4375
561,0,0.055,86,35,3010
562,0,0.055,65,35,2275
563,0,0.055,84,35,2940
564,0,0.055,131,35,4585
565,0,0.055,46,35,1610
566,0,0.055,97,35,3395
567,0,0.055,22,35,770
568,0,0.055,129,35,4515
569,0,0.055,122,35,4270
570,0,0.055,67,35,2345
571,0,0.055,26,35,910
572,0,0.055,25,35,875
573,0,0.055,89,35,3115
574,0,0.055,119,35,4165
575,0,0.055,66,35,2310
576,0,0.055,66,35,2310
577,0,0.055,103,35,3605
578,0,0.055,32,35,1120
579,0,0.055,55,35,1925
580,0,0.055,21,35,735
581,0,0.055,23,35,805
582,0,0.055,91,35,3185
583,0,0.055,75,35,2625
584,0,0.055,122,35,4270
585,0,0.055,130,35,4550
586,0,0.055,53,35,1855
587,0,0.055,139,35,4865
588,0,0.055,42,35,1470
589,0,0.055,123,35,4305
590,0,0.055,25,35,875
591,0,0.055,81,35,2835
592,0,0.055,72,35,2520
593,0,0.055,105,35,3675
594,0,0.055,76,35,2660
595,0,0.055,146,35,5110
596,0,0.055,82,35,2870
597,0,0.055,70,35,2450
598,0,0.055,44,35,1540
599,0,0.055,20,35,700
600,0,0.055,65,35,2275
601,0,0.055,34,35,1190
602,0,0.055,93,35,3255
603,0,0.055,114,35,3990
604,0,0.055,146,35,5110
605,0,0.055,108,35,3780
606,0,0.055,66,35,2310
607,0,0.055,87,35,3045
608,0,0.055,98,35,3430
609,0,0.055,129,35,4515
610,0,0.055,36,35,1260
611,0,0.055,116,35,4060
612,0,0.055,106,35,3710
613,0,0.055,143,35,5005
614,0,0.055,46,35,1610
615,0,0.055,82,35,2870
616,0,0.055,31,35,1085
617,0,0.055,80,35,2800
618,0,0.055,23,35,805
619,0,0.055,102,35,3570
620,0,0.055,68,35,2380
621,0,0.055,83,35,2905
622,0,0.055,34,35,1190
