sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores
0,0,0.055,127,35,4445
1,0,0.055,82,35,2870
2,0,0.055,44,35,1540
3,0,0.055,88,35,3080
4,0,0.055,63,35,2205
5,0,0.055,68,35,2380
6,0,0.055,72,35,2520
7,0,0.055,61,35,2135
8,0,0.055,32,35,1120
9,0,0.055,53,35,1855
10,0,0.055,140,35,4900
11,0,0.055,96,35,3360
12,0,0.055,65,35,2275
13,0,0.055,54,35,1890
14,0,0.055,98,35,3430
15,0,0.055,61,35,2135
16,0,0.055,25,35,875
17,0,0.055,121,35,4235
18,0,0.055,93,35,3255
19,0,0.055,128,35,4480
20,0,0.055,50,35,1750
21,0,0.055,54,35,1890
22,0,0.055,105,35,3675
23,0,0.055,89,35,3115
24,0,0.055,58,35,2030
25,0,0.055,86,35,3010
26,0,0.055,80,35,2800
27,0,0.055,96,35,3360
28,0,0.055,90,35,3150
29,0,0.055,46,35,1610
30,0,0.055,28,35,980
31,0,0.055,26,35,910
32,0,0.055,67,35,2345
33,0,0.055,94,35,3290
34,0,0.055,101,35,3535
35,0,0.055,73,35,2555
36,0,0.055,114,35,3990
37,0,0.055,20,35,700
38,0,0.055,125,35,4375
39,0,0.055,99,35,3465
40,0,0.055,138,35,4830
41,0,0.055,110,35,3850
42,0,0.055,125,35,4375
43,0,0.055,122,35,4270
44,0,0.055,116,35,4060
45,0,0.055,82,35,2870
46,0,0.055,47,35,1645
47,0,0.055,108,35,3780
48,0,0.055,142,35,4970
49,0,0.055,38,35,1330
50,0,0.055,30,35,1050
51,0,0.055,82,35,2870
52,0,0.055,27,35,945
53,0,0.055,97,35,3395
54,0,0.055,31,35,1085
55,0,0.055,54,35,1890
56,0,0.055,29,35,1015
57,0,0.055,104,35,3640
58,0,0.055,28,35,980
59,0,0.055,136,35,4760
60,0,0.055,21,35,735
61,0,0.055,83,35,2905
62,0,0.055,102,35,3570
63,0,0.055,90,35,3150
64,0,0.055,74,35,2590
65,0,0.055,103,35,3605
66,0,0.055,120,35,4200
67,0,0.055,114,35,3990
68,0,0.055,23,35,805
69,0,0.055,46,35,1610
70,0,0.055,78,35,2730
71,0,0.055,51,35,1785
72,0,0.055,92,35,3220
73,0,0.055,60,35,2100
74,0,0.055,76,35,2660
75,0,0.055,92,35,3220
76,0,0.055,100,35,3500
77,0,0.055,110,35,3850
78,0,0.055,54,35,1890
79,0,0.055,53,35,1855
80,0,0.055,78,35,2730
81,0,0.055,112,35,3920
82,0,0.055,76,35,2660
83,0,0.055,27,35,945
84,0,0.055,144,35,5040
85,0,0.055,143,35,5005
86,0,0.055,139,35,4865
87,0,0.055,38,35,1330
88,0,0.055,49,35,1715
89,0,0.055,137,35,4795
90,0,0.055,29,35,1015
91,0,0.055,130,35,4550
92,0,0.055,107,35,3745
93,0,0.055,58,35,2030
94,0,0.055,71,35,2485
95,0,0.055,90,35,3150
96,0,0.055,137,35,4795
97,0,0.055,57,35,1995
98,0,0.055,139,35,4865
99,0,0.055,61,35,2135
100,0,0.055,84,35,2940
101,0,0.055,29,35,1015
102,0,0.055,118,35,4130
103,0,0.055,41,35,1435
104,0,0.055,123,35,4305
105,0,0.055,75,35,2625
106,0,0.055,110,35,3850
107,0,0.055,101,35,3535
108,0,0.055,20,35,700
109,0,0.055,113,35,3955
110,0,0.055,100,35,3500
111,0,0.055,26,35,910
