sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,0.055,80,35,2800,0.07410996354171306,0.038,42
75,0,0.055,80,35,2800,0.16861371348866439,0.139,117
50,0,0.055,80,35,2800,0.029256768702731844,0.037,92
25,0,0.055,80,35,2800,0.000481026647942319,0.0,67
1,0,0.055,80,35,2800,0.023422238991663888,0.003,43
76,0,0.055,80,35,2800,7.68148806502482e-05,0.0,118
51,0,0.055,80,35,2800,0.0022776193357743097,0.001,93
26,0,0.055,80,35,2800,0.0009314378799676645,0.0,68
2,0,0.055,80,35,2800,0.01554496999032711,0.004,44
77,0,0.055,80,35,2800,0.004819689280652681,0.002,119
52,0,0.055,80,35,2800,0.05406024748451033,0.039,94
27,0,0.055,80,35,2800,0.011103660838120472,0.005,69
3,0,0.055,80,35,2800,0.0026109434517591255,0.001,45
78,0,0.055,80,35,2800,0.004963031017203425,0.0,120
53,0,0.055,80,35,2800,0.00032183137319750894,0.0,95
28,0,0.055,80,35,2800,0.6298728839490402,0.563,70
4,0,0.055,80,35,2800,0.0002824542929255744,0.0,46
79,0,0.055,80,35,2800,0.07424934847565716,0.065,121
54,0,0.055,80,35,2800,8.901561847382828e-05,0.0,96
29,0,0.055,80,35,2800,0.0013350315851520024,0.002,71
5,0,0.055,80,35,2800,0.0007132508314629509,0.0,47
80,0,0.055,80,35,2800,0.004398105289870609,0.001,122
30,0,0.055,80,35,2800,1.4492600924323297e-05,0.0,72
55,0,0.055,80,35,2800,0.023499186283666863,0.007,97
6,0,0.055,80,35,2800,0.026013649358812882,0.015,48
81,0,0.055,80,35,2800,2.900237204403785e-07,0.0,123
31,0,0.055,80,35,2800,0.04822588734969948,0.02,73
56,0,0.055,80,35,2800,0.037022391746717245,0.072,98
7,0,0.055,80,35,2800,0.013785221565069212,0.003,49
82,0,0.055,80,35,2800,0.0006120060591777018,0.0,124
32,0,0.055,80,35,2800,0.0005004614099345763,0.0,74
57,0,0.055,80,35,2800,0.4668322499966112,0.401,99
8,0,0.055,80,35,2800,0.11048294750670296,0.107,50
83,0,0.055,80,35,2800,0.0008867496432429696,0.0,125
33,0,0.055,80,35,2800,0.5659187976852146,0.52,75
58,0,0.055,80,35,2800,5.730715677139595e-05,0.0,100
9,0,0.055,80,35,2800,0.3120566096898999,0.3,51
84,0,0.055,80,35,2800,0.004935838136710277,0.002,126
34,0,0.055,80,35,2800,0.07074183423567154,0.047,76
59,0,0.055,80,35,2800,0.038004667925632375,0.006,101
10,0,0.055,80,35,2800,1.4111544854459334e-07,0.0,52
85,0,0.055,80,35,2800,0.03369292789940516,0.019,127
35,0,0.055,80,35,2800,0.002183313853406927,0.002,77
60,0,0.055,80,35,2800,0.006452590946691716,0.002,102
11,0,0.055,80,35,2800,5.001066682240133e-06,0.0,53
86,0,0.055,80,35,2800,1.346898044045666e-09,0.0,128
36,0,0.055,80,35,2800,0.0010014395536889552,0.0,78
61,0,0.055,80,35,2800,9.338687278381526e-07,0.0,103
12,0,0.055,80,35,2800,0.04414624582619575,0.044,54
87,0,0.055,80,35,2800,0.01422811838883825,0.003,129
37,0,0.055,80,35,2800,0.04574808174649135,0.019,79
62,0,0.055,80,35,2800,0.14932943996141357,0.139,104
13,0,0.055,80,35,2800,0.1222904373484211,0.085,55
88,0,0.055,80,35,2800,0.12037968380086167,0.105,130
38,0,0.055,80,35,2800,5.222989100646546e-08,0.0,80
63,0,0.055,80,35,2800,0.001885495716724101,0.0,105
14,0,0.055,80,35,2800,0.12442681089254437,0.097,56
89,0,0.055,80,35,2800,3.182498074174325e-05,0.0,131
39,0,0.055,80,35,2800,0.0024812963710637015,0.0,81
64,0,0.055,80,35,2800,0.00040898665999719586,0.0,106
15,0,0.055,80,35,2800,4.200504043991098e-06,0.0,57
90,0,0.055,80,35,2800,0.0033028098804608105,0.0,132
40,0,0.055,80,35,2800,5.752195468555696e-07,0.0,82
65,0,0.055,80,35,2800,4.590832862919083e-06,0.0,107
16,0,0.055,80,35,2800,3.077765533495795e-08,0.0,58
91,0,0.055,80,35,2800,5.924089123211425e-06,0.0,133
41,0,0.055,80,35,2800,0.031808851778431284,0.018,83
66,0,0.055,80,35,2800,0.008455348409252194,0.002,108
17,0,0.055,80,35,2800,0.0005200519239946107,0.0,59
92,0,0.055,80,35,2800,0.2441170671261395,0.111,134
42,0,0.055,80,35,2800,0.010725428134022014,0.0,84
67,0,0.055,80,35,2800,0.0005560137738297046,0.0,109
18,0,0.055,80,35,2800,0.011399673817993637,0.005,60
93,0,0.055,80,35,2800,0.00010556522364511025,0.0,135
43,0,0.055,80,35,2800,0.07013393828375764,0.046,85
68,0,0.055,80,35,2800,4.458497416504075e-06,0.0,110
19,0,0.055,80,35,2800,0.12816703789390593,0.115,61
94,0,0.055,80,35,2800,0.01947160569016045,0.012,136
69,0,0.055,80,35,2800,0.11227316397913856,0.048,111
44,0,0.055,80,35,2800,0.5332403270653482,0.521,86
20,0,0.055,80,35,2800,0.003201923143416981,0.0,62
95,0,0.055,80,35,2800,0.0015716700418610765,0.0,137
70,0,0.055,80,35,2800,0.01367354214706402,0.002,112
45,0,0.055,80,35,2800,0.3551198920060365,0.426,87
21,0,0.055,80,35,2800,0.004939218769872266,0.002,63
96,0,0.055,80,35,2800,7.95582218529971e-05,0.0,138
71,0,0.055,80,35,2800,0.0013753676840362967,0.0,113
46,0,0.055,80,35,2800,0.003954981066575882,0.003,88
22,0,0.055,80,35,2800,0.007968802906149947,0.0,64
97,0,0.055,80,35,2800,0.028666475320906885,0.013,139
47,0,0.055,80,35,2800,0.000196922357804297,0.0,89
72,0,0.055,80,35,2800,0.006278274973474809,0.0,114
23,0,0.055,80,35,2800,0.021618451480057452,0.005,65
98,0,0.055,80,35,2800,0.0247680392886203,0.017,140
48,0,0.055,80,35,2800,0.001741597763620148,0.0,90
73,0,0.055,80,35,2800,3.672314781398421e-05,0.0,115
24,0,0.055,80,35,2800,0.868824585433609,0.949,66
99,0,0.055,80,35,2800,0.012867626346886533,0.006,141
49,0,0.055,80,35,2800,0.0004965612782214439,0.0,91
74,0,0.055,80,35,2800,0.0010984529602678357,0.0,116
