sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,0.055,80,35,2800,0.07521388330036322,0.006,42
100,0,0.055,80,35,2800,8.679971737595213e-05,0.0,142
25,0,0.055,80,35,2800,0.005349766572900521,0.007,67
75,0,0.055,80,35,2800,0.04807165181374538,0.094,117
125,0,0.055,80,35,2800,0.7120881371739194,0.799,167
50,0,0.055,80,35,2800,0.03162948388809416,0.113,92
1,0,0.055,80,35,2800,6.774822544822361e-05,0.0,43
101,0,0.055,80,35,2800,8.550764862704076e-07,0.0,143
76,0,0.055,80,35,2800,0.00011433565076206493,0.0,118
26,0,0.055,80,35,2800,8.392749146493203e-07,0.0,68
126,0,0.055,80,35,2800,0.0005609906864110702,0.0,168
51,0,0.055,80,35,2800,8.129907620232633e-05,0.0,93
2,0,0.055,80,35,2800,0.009749664270884617,0.0,44
102,0,0.055,80,35,2800,0.08528553888787271,0.101,144
77,0,0.055,80,35,2800,0.2802074377705407,0.224,119
27,0,0.055,80,35,2800,0.09033476764927895,0.074,69
127,0,0.055,80,35,2800,0.0024884598612222013,0.0,169
52,0,0.055,80,35,2800,0.012134704320058394,0.003,94
3,0,0.055,80,35,2800,0.03462934614296934,0.017,45
103,0,0.055,80,35,2800,0.20788351927729937,0.021,145
78,0,0.055,80,35,2800,0.0030340261904853393,0.001,120
28,0,0.055,80,35,2800,0.16362915944386097,0.088,70
53,0,0.055,80,35,2800,3.6141092641974028e-09,0.0,95
128,0,0.055,80,35,2800,0.0003131602739244562,0.0,170
4,0,0.055,80,35,2800,0.004727875888598621,0.0,46
104,0,0.055,80,35,2800,0.003015043005291211,0.002,146
79,0,0.055,80,35,2800,0.15459807847881618,0.058,121
129,0,0.055,80,35,2800,0.000806213162594068,0.0,171
29,0,0.055,80,35,2800,0.00587506269804411,0.001,71
54,0,0.055,80,35,2800,5.011617232085423e-08,0.0,96
5,0,0.055,80,35,2800,1.5240665587586006e-05,0.0,47
105,0,0.055,80,35,2800,1.0264587313159381e-05,0.0,147
80,0,0.055,80,35,2800,0.03142913867446619,0.014,122
130,0,0.055,80,35,2800,0.048681200539807075,0.041,172
30,0,0.055,80,35,2800,0.0003408806249482441,0.0,72
55,0,0.055,80,35,2800,0.006929718244080413,0.017,97
6,0,0.055,80,35,2800,0.02416185433908843,0.008,48
106,0,0.055,80,35,2800,0.034217077174967456,0.062,148
81,0,0.055,80,35,2800,7.364114712289959e-08,0.0,123
131,0,0.055,80,35,2800,1.4216851443952571e-06,0.0,173
