sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
15,0,0.0,68,38,2584,0.7946158140724731,0.876,57
10,0,0.0,68,38,2584,0.062345661423720514,0.042,52
5,0,0.0,68,38,2584,0.12649000879573613,0.094,47
0,0,0.0,68,38,2584,0.4366549235862708,0.501,42
16,0,0.0,68,38,2584,0.9641667695563713,0.975,58
11,0,0.0,68,38,2584,0.9236035488118415,0.95,53
6,0,0.0,68,38,2584,0.9762735119349322,0.994,48
1,0,0.0,68,38,2584,0.6619460109069798,0.696,43
12,0,0.0,68,38,2584,0.666326588532531,0.739,54
17,0,0.0,68,38,2584,0.21420650009781445,0.175,59
2,0,0.0,68,38,2584,0.7619510222766441,0.774,44
7,0,0.0,68,38,2584,0.9405123060867581,0.972,49
13,0,0.0,68,38,2584,0.5617870974214182,0.517,55
18,0,0.0,68,38,2584,0.7518543356691123,0.718,60
8,0,0.0,68,38,2584,0.9258529822986672,0.956,50
3,0,0.0,68,38,2584,0.021806494189961546,0.007,45
14,0,0.0,68,38,2584,0.9458212224686455,0.966,56
9,0,0.0,68,38,2584,0.09661965085598795,0.06,51
19,0,0.0,68,38,2584,0.9644065149487961,0.988,61
4,0,0.0,68,38,2584,0.3062157662523466,0.258,46
