sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,0.055,38,69,2622,0.003523397941230902,0.001,42
30,0,0.055,38,69,2622,0.07711035416409151,0.027,72
20,0,0.055,38,69,2622,8.238961553046287e-08,0.0,62
10,0,0.055,38,69,2622,0.0031231015290283924,0.0,52
1,0,0.055,38,69,2622,0.00011969594475689706,0.0,43
31,0,0.055,38,69,2622,0.002644707726948549,0.0,73
21,0,0.055,38,69,2622,0.0013056290869846994,0.0,63
11,0,0.055,38,69,2622,0.010058772172463355,0.004,53
2,0,0.055,38,69,2622,0.038853645675191596,0.038,44
22,0,0.055,38,69,2622,0.0002018958933837412,0.0,64
32,0,0.055,38,69,2622,1.0517257452541005e-07,0.0,74
12,0,0.055,38,69,2622,0.0014952110963838358,0.0,54
3,0,0.055,38,69,2622,0.006076037149691969,0.002,45
23,0,0.055,38,69,2622,0.0015569783275042315,0.001,65
33,0,0.055,38,69,2622,1.0842627138159031e-05,0.0,75
13,0,0.055,38,69,2622,0.005850683045660585,0.002,55
4,0,0.055,38,69,2622,1.2063386451030088e-06,0.0,46
34,0,0.055,38,69,2622,0.1311625674085105,0.088,76
14,0,0.055,38,69,2622,0.00802755825775496,0.001,56
24,0,0.055,38,69,2622,7.483387723574297e-05,0.0,66
5,0,0.055,38,69,2622,7.880150240561782e-05,0.0,47
15,0,0.055,38,69,2622,0.004938666098643814,0.002,57
25,0,0.055,38,69,2622,0.2954998565866156,0.212,67
35,0,0.055,38,69,2622,0.06926160672189934,0.053,77
6,0,0.055,38,69,2622,0.00010128856139001482,0.0,48
16,0,0.055,38,69,2622,4.0742593290859893e-10,0.0,58
26,0,0.055,38,69,2622,0.00219789987123481,0.0,68
36,0,0.055,38,69,2622,0.4457914122415962,0.41,78
7,0,0.055,38,69,2622,0.0002725560202640907,0.0,49
17,0,0.055,38,69,2622,4.851418509456597e-09,0.0,59
27,0,0.055,38,69,2622,0.042159118811905656,0.033,69
37,0,0.055,38,69,2622,1.0053569578462142e-07,0.0,79
8,0,0.055,38,69,2622,0.03435501657350254,0.012,50
18,0,0.055,38,69,2622,6.897192442284508e-05,0.0,60
28,0,0.055,38,69,2622,3.217490895209806e-05,0.0,70
38,0,0.055,38,69,2622,0.07303786205136058,0.081,80
9,0,0.055,38,69,2622,0.008372000480191908,0.004,51
19,0,0.055,38,69,2622,0.0016109540148923943,0.0,61
29,0,0.055,38,69,2622,4.0661924956013626e-05,0.0,71
39,0,0.055,38,69,2622,7.903577296248684e-05,0.0,81
