sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
24,0,0.055,38,69,2622,0.00022453652552907323,0.0,66
0,0,0.055,38,69,2622,0.09214521419645089,0.017,42
48,0,0.055,38,69,2622,0.11692377437104834,0.016,90
72,0,0.055,38,69,2622,0.0004107411755164396,0.0,114
25,0,0.055,38,69,2622,0.26743694946019575,0.055,67
49,0,0.055,38,69,2622,0.0008237637495040662,0.0,91
1,0,0.055,38,69,2622,0.003460570818254026,0.001,43
73,0,0.055,38,69,2622,0.00490093055569597,0.001,115
26,0,0.055,38,69,2622,0.0001942106031121799,0.0,68
2,0,0.055,38,69,2622,0.3923022812977899,0.1,44
74,0,0.055,38,69,2622,0.00270166953443059,0.0,116
50,0,0.055,38,69,2622,0.00019686391055807995,0.0,92
27,0,0.055,38,69,2622,0.01076369803726437,0.019,69
51,0,0.055,38,69,2622,1.0765704914027351e-06,0.0,93
3,0,0.055,38,69,2622,0.0019938819721825106,0.0,45
75,0,0.055,38,69,2622,0.026309684437565144,0.001,117
28,0,0.055,38,69,2622,0.0013841897144217916,0.0,70
52,0,0.055,38,69,2622,0.35743122280594575,0.059,94
76,0,0.055,38,69,2622,0.003743772103340871,0.002,118
4,0,0.055,38,69,2622,0.0011975599051313839,0.0,46
29,0,0.055,38,69,2622,8.37703715879791e-05,0.0,71
53,0,0.055,38,69,2622,1.8028030747744876e-06,0.0,95
77,0,0.055,38,69,2622,7.604557095237736e-08,0.0,119
5,0,0.055,38,69,2622,0.04373520808634125,0.001,47
30,0,0.055,38,69,2622,0.009084779060690372,0.001,72
54,0,0.055,38,69,2622,0.00497665386827614,0.006,96
78,0,0.055,38,69,2622,1.3215866240869729e-06,0.0,120
6,0,0.055,38,69,2622,0.0002872868532757781,0.0,48
31,0,0.055,38,69,2622,0.00958846717139735,0.0,73
55,0,0.055,38,69,2622,0.06122331423698521,0.069,97
79,0,0.055,38,69,2622,0.11586861697880185,0.107,121
7,0,0.055,38,69,2622,0.0029517827400000083,0.0,49
32,0,0.055,38,69,2622,4.2516613995027026e-05,0.0,74
56,0,0.055,38,69,2622,0.00032415779248856896,0.0,98
80,0,0.055,38,69,2622,0.2975292694532073,0.114,122
8,0,0.055,38,69,2622,0.013466175173161099,0.0,50
33,0,0.055,38,69,2622,2.2265204412479874e-05,0.0,75
57,0,0.055,38,69,2622,0.07744601157365648,0.052,99
81,0,0.055,38,69,2622,0.0015376056650007433,0.0,123
9,0,0.055,38,69,2622,0.03734594850806169,0.005,51
34,0,0.055,38,69,2622,0.07856658114537425,0.003,76
58,0,0.055,38,69,2622,0.033411030451251766,0.004,100
82,0,0.055,38,69,2622,0.057784173099574995,0.003,124
10,0,0.055,38,69,2622,0.0001117659777173905,0.0,52
35,0,0.055,38,69,2622,0.05463310799659253,0.071,77
59,0,0.055,38,69,2622,0.0005423794865054102,0.0,101
83,0,0.055,38,69,2622,0.03043774462708455,0.003,125
11,0,0.055,38,69,2622,0.020212201188874863,0.005,53
36,0,0.055,38,69,2622,0.4081071032967495,0.112,78
60,0,0.055,38,69,2622,0.15001901837685144,0.006,102
84,0,0.055,38,69,2622,0.024239077190979723,0.01,126
12,0,0.055,38,69,2622,0.0009907908505800073,0.0,54
37,0,0.055,38,69,2622,3.075112742028064e-08,0.0,79
61,0,0.055,38,69,2622,0.003496434175602328,0.003,103
85,0,0.055,38,69,2622,0.3338585368171433,0.093,127
13,0,0.055,38,69,2622,0.010547932337778222,0.004,55
38,0,0.055,38,69,2622,0.3007382211471034,0.134,80
62,0,0.055,38,69,2622,0.0073988068460382715,0.0,104
86,0,0.055,38,69,2622,0.431053620049133,0.222,128
14,0,0.055,38,69,2622,0.0014327694839497054,0.0,56
39,0,0.055,38,69,2622,0.0008016504676419947,0.0,81
63,0,0.055,38,69,2622,3.9287135424967623e-07,0.0,105
87,0,0.055,38,69,2622,0.04743527297764836,0.04,129
15,0,0.055,38,69,2622,0.02637657642040906,0.011,57
40,0,0.055,38,69,2622,0.10309160028944764,0.018,82
64,0,0.055,38,69,2622,0.0104746930709903,0.0,106
88,0,0.055,38,69,2622,0.004053492713278574,0.0,130
16,0,0.055,38,69,2622,2.6374525740424138e-06,0.0,58
41,0,0.055,38,69,2622,5.972494770417295e-08,0.0,83
65,0,0.055,38,69,2622,0.09786062278573437,0.047,107
89,0,0.055,38,69,2622,0.0005130905852892825,0.0,131
17,0,0.055,38,69,2622,8.255285912215154e-06,0.0,59
42,0,0.055,38,69,2622,0.03545335006510112,0.014,84
66,0,0.055,38,69,2622,0.0021902669911996265,0.001,108
90,0,0.055,38,69,2622,0.0019037501507354452,0.0,132
18,0,0.055,38,69,2622,0.000632743176912841,0.0,60
43,0,0.055,38,69,2622,0.005362197544190509,0.004,85
67,0,0.055,38,69,2622,7.5545374803522936e-06,0.0,109
91,0,0.055,38,69,2622,0.43624188232486627,0.026,133
19,0,0.055,38,69,2622,0.0001277131635294151,0.0,61
44,0,0.055,38,69,2622,0.16828805419150417,0.036,86
68,0,0.055,38,69,2622,0.0003985604531036852,0.0,110
92,0,0.055,38,69,2622,0.00836790670248742,0.0,134
20,0,0.055,38,69,2622,1.4605376371609166e-10,0.0,62
45,0,0.055,38,69,2622,0.00019986321629960417,0.0,87
69,0,0.055,38,69,2622,0.004606457972828035,0.0,111
93,0,0.055,38,69,2622,0.02099052162655529,0.001,135
21,0,0.055,38,69,2622,0.005807687505947237,0.002,63
46,0,0.055,38,69,2622,0.17284212430847928,0.032,88
70,0,0.055,38,69,2622,0.563440993248608,0.286,112
94,0,0.055,38,69,2622,0.02959180856719033,0.006,136
22,0,0.055,38,69,2622,0.00030113350315878637,0.0,64
47,0,0.055,38,69,2622,0.00047407327713841827,0.0,89
23,0,0.055,38,69,2622,0.0007527989371410972,0.002,65
71,0,0.055,38,69,2622,0.016526521230687437,0.019,113
95,0,0.055,38,69,2622,0.34264364896081356,0.103,137
