sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,0.075,46,38,1748,0.18995874036305488,0.079,42
0,84,0.075,46,38,1748,1.8761304934222331e-06,0.0,126
0,51,0.075,46,38,1748,2.8201333601497758e-05,0.0,93
0,68,0.075,46,38,1748,0.0004991439821978842,0.0,110
0,17,0.075,46,38,1748,8.944272116516402e-05,0.0,59
0,34,0.075,46,38,1748,0.16568802496027313,0.046,76
0,1,0.075,46,38,1748,0.04301389155707671,0.019,43
0,69,0.075,46,38,1748,0.02131022964968901,0.004,111
0,18,0.075,46,38,1748,0.00033643582477755116,0.0,60
0,52,0.075,46,38,1748,0.004942780951021098,0.0,94
0,35,0.075,46,38,1748,0.00485790612011321,0.007,77
0,2,0.075,46,38,1748,0.03530761661522396,0.006,44
0,85,0.075,46,38,1748,0.00042127575349480174,0.0,127
0,19,0.075,46,38,1748,0.014575152273463824,0.0,61
0,36,0.075,46,38,1748,0.0004957083109768324,0.0,78
0,86,0.075,46,38,1748,0.6209439511361312,0.445,128
0,3,0.075,46,38,1748,0.003661698434193682,0.0,45
0,70,0.075,46,38,1748,0.02207931676834655,0.005,112
0,53,0.075,46,38,1748,0.0029310366100864472,0.0,95
0,37,0.075,46,38,1748,0.00016658327141151288,0.0,79
0,20,0.075,46,38,1748,0.11012517711152942,0.065,62
0,87,0.075,46,38,1748,0.007013711262592614,0.005,129
0,54,0.075,46,38,1748,0.01343154853711357,0.0,96
0,71,0.075,46,38,1748,0.015111142774909778,0.0,113
0,72,0.075,46,38,1748,0.0009780462408315717,0.0,114
0,4,0.075,46,38,1748,0.002616469248026458,0.0,46
0,88,0.075,46,38,1748,0.0014573477878979616,0.0,130
0,38,0.075,46,38,1748,0.01304799746591767,0.0,80
0,55,0.075,46,38,1748,0.014945391585524435,0.008,97
0,21,0.075,46,38,1748,0.00045448150732683393,0.0,63
0,5,0.075,46,38,1748,0.12705956458561113,0.046,47
0,89,0.075,46,38,1748,1.2037569367649059e-05,0.0,131
0,73,0.075,46,38,1748,0.00018605923608706093,0.0,115
0,39,0.075,46,38,1748,5.900106538585151e-05,0.0,81
0,56,0.075,46,38,1748,0.005102483054188393,0.001,98
0,22,0.075,46,38,1748,0.0008366545039231717,0.0,64
0,6,0.075,46,38,1748,0.0007921655335803146,0.0,48
0,40,0.075,46,38,1748,0.0009555426331120367,0.0,82
0,90,0.075,46,38,1748,4.2840320540441316e-07,0.0,132
0,57,0.075,46,38,1748,0.00027211475111664865,0.0,99
0,74,0.075,46,38,1748,0.28137115850965055,0.019,116
0,23,0.075,46,38,1748,0.11957609825403898,0.125,65
0,7,0.075,46,38,1748,0.1900535004548235,0.051,49
0,41,0.075,46,38,1748,6.048089350090151e-09,0.0,83
0,91,0.075,46,38,1748,0.0030954189715790862,0.002,133
0,58,0.075,46,38,1748,5.523870469560481e-06,0.0,100
0,75,0.075,46,38,1748,0.003950128053138024,0.001,117
0,24,0.075,46,38,1748,0.0003885635052080733,0.0,66
0,92,0.075,46,38,1748,0.0015110032179600271,0.0,134
0,42,0.075,46,38,1748,0.005623177819250688,0.004,84
0,59,0.075,46,38,1748,3.3296140719229456e-05,0.0,101
0,8,0.075,46,38,1748,0.17661691881181785,0.194,50
0,25,0.075,46,38,1748,0.00351364093888859,0.0,67
0,76,0.075,46,38,1748,0.005503079544284921,0.0,118
0,43,0.075,46,38,1748,0.0058728719738150225,0.0,85
0,60,0.075,46,38,1748,0.0010000012989037459,0.0,102
0,77,0.075,46,38,1748,0.04197486462563372,0.037,119
0,93,0.075,46,38,1748,0.003194974892550599,0.0,135
0,9,0.075,46,38,1748,1.4134580773590919e-05,0.0,51
0,61,0.075,46,38,1748,0.018967676280249136,0.001,103
0,26,0.075,46,38,1748,0.019582304855224667,0.002,68
0,94,0.075,46,38,1748,0.0002930149502455883,0.0,136
0,44,0.075,46,38,1748,0.022863120698418265,0.002,86
0,10,0.075,46,38,1748,0.0011965040329037129,0.0,52
0,78,0.075,46,38,1748,0.020253628018058523,0.011,120
0,62,0.075,46,38,1748,0.001654068881672591,0.0,104
0,95,0.075,46,38,1748,0.5476670965936158,0.466,137
0,27,0.075,46,38,1748,7.520976820464424e-06,0.0,69
0,79,0.075,46,38,1748,0.0002803202748429091,0.0,121
0,11,0.075,46,38,1748,0.005141475853362296,0.014,53
0,45,0.075,46,38,1748,0.1061180897097081,0.114,87
0,28,0.075,46,38,1748,3.978195833752214e-05,0.0,70
0,63,0.075,46,38,1748,0.056548340483120844,0.012,105
0,12,0.075,46,38,1748,0.08182527012702734,0.034,54
0,46,0.075,46,38,1748,0.11349029499833069,0.007,88
0,96,0.075,46,38,1748,0.06726976417586422,0.013,138
0,80,0.075,46,38,1748,0.46960959681578696,0.121,122
0,64,0.075,46,38,1748,4.775977540300002e-05,0.0,106
0,47,0.075,46,38,1748,1.9773772212172294e-06,0.0,89
0,97,0.075,46,38,1748,0.004613067151257086,0.001,139
0,13,0.075,46,38,1748,5.311788547691303e-08,0.0,55
0,81,0.075,46,38,1748,1.0109303744091556e-05,0.0,123
0,29,0.075,46,38,1748,0.06391906693833127,0.058,71
0,65,0.075,46,38,1748,4.302658772371619e-06,0.0,107
0,98,0.075,46,38,1748,0.007053197905213987,0.0,140
0,48,0.075,46,38,1748,2.864734317321345e-05,0.0,90
0,14,0.075,46,38,1748,0.00215486773617187,0.0,56
0,66,0.075,46,38,1748,0.0002903994219747485,0.0,108
0,82,0.075,46,38,1748,0.0005696190531618388,0.0,124
0,30,0.075,46,38,1748,1.1769105671086829e-05,0.0,72
0,49,0.075,46,38,1748,0.011773074729571655,0.001,91
0,99,0.075,46,38,1748,0.0041864069774258566,0.002,141
0,83,0.075,46,38,1748,0.01470809142346991,0.012,125
0,15,0.075,46,38,1748,0.03969699094641906,0.001,57
0,67,0.075,46,38,1748,0.00011565675469016472,0.0,109
0,31,0.075,46,38,1748,0.0017194777878355128,0.0,73
0,32,0.075,46,38,1748,2.0418821868767156e-08,0.0,74
0,50,0.075,46,38,1748,4.0840747629226924e-07,0.0,92
0,16,0.075,46,38,1748,0.013833778479023097,0.002,58
0,33,0.075,46,38,1748,0.001572065768796876,0.0,75
