power_id,sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,134,0.045,80,38,3040,0.1593141086526184,0.053,176
0,0,201,0.045,80,38,3040,0.0517982281140155,0.011,243
0,0,334,0.045,80,38,3040,2.315994429396868e-05,0.0,376
0,0,67,0.045,80,38,3040,0.0022390640297527,0.001,109
0,0,0,0.045,80,38,3040,0.0888965818190612,0.049,42
0,0,268,0.045,80,38,3040,0.0510945939182965,0.015,310
0,0,135,0.045,80,38,3040,8.718637712312213e-05,0.0,177
0,0,202,0.045,80,38,3040,5.443726492988595e-06,0.0,244
0,0,136,0.045,80,38,3040,0.0205997623596237,0.012,178
0,0,269,0.045,80,38,3040,0.224299154873992,0.085,311
0,0,203,0.045,80,38,3040,2.546225010998845e-07,0.0,245
0,0,335,0.045,80,38,3040,0.0919284216297479,0.009,377
0,0,68,0.045,80,38,3040,1.3196433790552034e-06,0.0,110
0,0,1,0.045,80,38,3040,0.0078169495870541,0.008,43
0,0,204,0.045,80,38,3040,3.118350520172788e-05,0.0,246
0,0,2,0.045,80,38,3040,0.0018510666252808,0.0,44
0,0,137,0.045,80,38,3040,0.0002239466957807,0.0,179
0,0,336,0.045,80,38,3040,0.0055646632075658,0.001,378
0,0,69,0.045,80,38,3040,0.0031753507774733,0.002,111
0,0,270,0.045,80,38,3040,0.0247768023985383,0.002,312
0,0,205,0.045,80,38,3040,2.6639981262592793e-10,0.0,247
0,0,70,0.045,80,38,3040,0.0117118375893054,0.0,112
0,0,337,0.045,80,38,3040,0.0332047781959067,0.0,379
0,0,206,0.045,80,38,3040,0.000152807534666,0.0,248
0,0,138,0.045,80,38,3040,0.7925009144838517,0.869,180
0,0,3,0.045,80,38,3040,0.0588305046784325,0.023,45
0,0,271,0.045,80,38,3040,0.0014605433711426,0.0,313
0,0,207,0.045,80,38,3040,0.4165061500308006,0.293,249
0,0,338,0.045,80,38,3040,0.0686718118022088,0.015,380
0,0,272,0.045,80,38,3040,0.0366785667541999,0.002,314
0,0,71,0.045,80,38,3040,0.006461328156435,0.004,113
0,0,139,0.045,80,38,3040,0.2606617843449058,0.134,181
0,0,4,0.045,80,38,3040,0.006620687171078,0.001,46
0,0,208,0.045,80,38,3040,0.0006897527138815,0.0,250
0,0,140,0.045,80,38,3040,0.0446950725315679,0.029,182
0,0,72,0.045,80,38,3040,0.0001128149913366,0.0,114
0,0,339,0.045,80,38,3040,1.486815617785603e-06,0.0,381
0,0,273,0.045,80,38,3040,0.0007118987744725,0.0,315
0,0,5,0.045,80,38,3040,9.5250465852488e-05,0.0,47
0,0,209,0.045,80,38,3040,0.5330591731389589,0.238,251
0,0,141,0.045,80,38,3040,0.2761646603260886,0.228,183
0,0,73,0.045,80,38,3040,0.0030529907681667,0.0,115
0,0,210,0.045,80,38,3040,0.0002660521778807,0.0,252
0,0,340,0.045,80,38,3040,0.0132405074881909,0.0,382
0,0,142,0.045,80,38,3040,0.0012210039738923,0.0,184
0,0,274,0.045,80,38,3040,0.0077495567162273,0.0,316
0,0,6,0.045,80,38,3040,0.0093442031264601,0.002,48
0,0,74,0.045,80,38,3040,0.0008228493290348,0.0,116
0,0,211,0.045,80,38,3040,5.573183952416865e-05,0.0,253
0,0,341,0.045,80,38,3040,0.216182328404585,0.144,383
0,0,143,0.045,80,38,3040,0.0193779403576944,0.014,185
0,0,7,0.045,80,38,3040,0.0667217615639371,0.02,49
0,0,275,0.045,80,38,3040,0.2621970308510268,0.164,317
0,0,75,0.045,80,38,3040,0.1777394476468763,0.109,117
0,0,212,0.045,80,38,3040,0.4441395205675955,0.179,254
0,0,342,0.045,80,38,3040,0.2806492772891836,0.097,384
0,0,8,0.045,80,38,3040,0.1535123510058934,0.039,50
0,0,276,0.045,80,38,3040,0.0923039293416038,0.058,318
0,0,144,0.045,80,38,3040,0.0038303763441267,0.001,186
0,0,76,0.045,80,38,3040,0.0001282811886516,0.0,118
0,0,213,0.045,80,38,3040,8.582629522378074e-05,0.0,255
