sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,0.055,80,38,3040,0.23796896328337758,0.156,42
0,334,0.055,80,38,3040,5.42510336405621e-09,0.0,376
0,668,0.055,80,38,3040,0.1997512293514897,0.147,710
0,1,0.055,80,38,3040,0.0006681140078834112,0.0,43
0,1001,0.055,80,38,3040,0.018329412609356784,0.006,1043
0,335,0.055,80,38,3040,0.0014225791561128193,0.0,377
0,1334,0.055,80,38,3040,1.6740167337407263e-05,0.0,1376
0,1667,0.055,80,38,3040,4.16477817294483e-08,0.0,1709
0,669,0.055,80,38,3040,0.006043745224775329,0.004,711
0,2,0.055,80,38,3040,3.599062208545117e-05,0.0,44
0,1002,0.055,80,38,3040,4.6757381127375346e-05,0.0,1044
0,336,0.055,80,38,3040,0.0031994748179780693,0.0,378
0,1335,0.055,80,38,3040,2.818845398163683e-06,0.0,1377
0,1668,0.055,80,38,3040,0.08455074759016856,0.091,1710
0,670,0.055,80,38,3040,0.0002762197214318206,0.0,712
0,3,0.055,80,38,3040,0.04041330128297081,0.034,45
0,1003,0.055,80,38,3040,1.0784384676183362e-05,0.0,1045
0,337,0.055,80,38,3040,0.2707864585627765,0.163,379
0,1336,0.055,80,38,3040,0.0013593501616837105,0.0,1378
0,1669,0.055,80,38,3040,0.037908390434251885,0.007,1711
0,671,0.055,80,38,3040,6.896554989170824e-07,0.0,713
0,4,0.055,80,38,3040,0.0006134913130347818,0.0,46
0,1004,0.055,80,38,3040,2.45197462539393e-05,0.0,1046
0,338,0.055,80,38,3040,0.0007700640069217377,0.0,380
0,1337,0.055,80,38,3040,0.03645984488461122,0.02,1379
0,1670,0.055,80,38,3040,0.0058226165618890414,0.0,1712
0,672,0.055,80,38,3040,1.2042217390147151e-05,0.0,714
0,5,0.055,80,38,3040,1.4105910822321373e-05,0.0,47
0,1005,0.055,80,38,3040,1.2268708472070904e-05,0.0,1047
0,339,0.055,80,38,3040,1.0880907221513106e-10,0.0,381
0,1338,0.055,80,38,3040,4.48621001867199e-06,0.0,1380
0,1671,0.055,80,38,3040,5.933167119359012e-09,0.0,1713
0,673,0.055,80,38,3040,0.00013183745699640601,0.0,715
0,6,0.055,80,38,3040,0.00010081454556611092,0.0,48
0,1006,0.055,80,38,3040,5.122889941836065e-06,0.0,1048
0,1339,0.055,80,38,3040,0.24787045051719103,0.22,1381
0,340,0.055,80,38,3040,3.914449511498814e-08,0.0,382
0,1672,0.055,80,38,3040,0.0035716558537342157,0.001,1714
0,674,0.055,80,38,3040,0.06243843787953869,0.059,716
0,7,0.055,80,38,3040,0.004180911047647237,0.0,49
0,1007,0.055,80,38,3040,0.003967558698578037,0.001,1049
0,341,0.055,80,38,3040,0.3240559680154733,0.38,383
0,1340,0.055,80,38,3040,1.7673563610816339e-06,0.0,1382
0,1673,0.055,80,38,3040,0.07367897646947176,0.047,1715
0,675,0.055,80,38,3040,0.019530983932450674,0.009,717
0,8,0.055,80,38,3040,0.023094429195311936,0.008,50
0,1008,0.055,80,38,3040,0.004498787123261121,0.002,1050
0,342,0.055,80,38,3040,0.15712425597219587,0.097,384
0,1341,0.055,80,38,3040,0.00013875424267151303,0.0,1383
0,1674,0.055,80,38,3040,0.022837953137181673,0.009,1716
0,676,0.055,80,38,3040,0.05288911350480903,0.032,718
0,9,0.055,80,38,3040,0.1812529478178238,0.169,51
0,1009,0.055,80,38,3040,0.0039942427592742705,0.0,1051
0,1342,0.055,80,38,3040,6.259911919309719e-08,0.0,1384
0,343,0.055,80,38,3040,0.16351766180659433,0.097,385
0,1675,0.055,80,38,3040,2.8560910927675935e-08,0.0,1717
0,677,0.055,80,38,3040,0.04374348882185622,0.017,719
0,10,0.055,80,38,3040,8.356572899748656e-10,0.0,52
0,1010,0.055,80,38,3040,0.0051209068910220736,0.003,1052
0,1343,0.055,80,38,3040,3.951554041784109e-09,0.0,1385
