sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,0.055,27,35,945,0.06688412310124309,0.051,42
167,0,0.055,20,35,700,0.553423066348009,0.675,209
501,0,0.055,81,35,2835,2.599156184357454e-06,0.0,543
1,0,0.055,40,35,1400,0.008088311839678501,0.0,43
668,0,0.055,106,35,3710,0.002186979418914852,0.001,710
834,0,0.055,136,35,4760,5.111659693798964e-07,0.0,876
334,0,0.055,63,35,2205,0.00670137338214032,0.001,376
502,0,0.055,23,35,805,0.15651281029602226,0.192,544
2,0,0.055,78,35,2730,0.3707593069395969,0.048,44
168,0,0.055,136,35,4760,8.558021094701047e-06,0.0,210
669,0,0.055,130,35,4550,1.1607744325004524e-05,0.0,711
335,0,0.055,125,35,4375,2.09718644453254e-08,0.0,377
835,0,0.055,149,35,5215,5.747666238349414e-05,0.0,877
503,0,0.055,127,35,4445,7.156481760958609e-13,0.0,545
169,0,0.055,33,35,1155,0.10887322780949371,0.173,211
3,0,0.055,93,35,3255,0.014103667552121054,0.0,45
670,0,0.055,32,35,1120,0.2700875432979113,0.326,712
336,0,0.055,122,35,4270,0.002670244817947779,0.001,378
504,0,0.055,44,35,1540,0.02960348395040405,0.003,546
170,0,0.055,43,35,1505,0.00011346045815259114,0.0,212
337,0,0.055,33,35,1155,0.34676726403122304,0.133,379
671,0,0.055,117,35,4095,1.0461201665444638e-07,0.0,713
4,0,0.055,135,35,4725,8.52956199680479e-05,0.0,46
836,0,0.055,142,35,4970,0.0011719334522744171,0.001,878
171,0,0.055,64,35,2240,0.3309872581583474,0.261,213
505,0,0.055,129,35,4515,0.018689190175776575,0.0,547
837,0,0.055,84,35,2940,2.633843846699992e-05,0.0,879
172,0,0.055,41,35,1435,0.4232590766724093,0.274,214
5,0,0.055,108,35,3780,1.7277641082849567e-05,0.0,47
338,0,0.055,108,35,3780,0.11523784060817727,0.002,380
672,0,0.055,105,35,3675,5.4469726166053974e-05,0.0,714
506,0,0.055,113,35,3955,6.164652010804772e-05,0.0,548
173,0,0.055,20,35,700,0.047903423243893066,0.058,215
339,0,0.055,74,35,2590,0.0005141557478236503,0.0,381
6,0,0.055,79,35,2765,0.23926448101194703,0.085,48
673,0,0.055,124,35,4340,0.389134474940807,0.051,715
507,0,0.055,101,35,3535,0.003320212755134124,0.0,549
340,0,0.055,45,35,1575,0.004237885387518538,0.0,382
838,0,0.055,144,35,5040,0.005742975528646663,0.001,880
174,0,0.055,128,35,4480,1.3782440610747704e-05,0.0,216
7,0,0.055,92,35,3220,0.04406191405684367,0.001,49
508,0,0.055,59,35,2065,0.2914193866445903,0.037,550
674,0,0.055,94,35,3290,0.017822720624297496,0.003,716
341,0,0.055,55,35,1925,0.32364843139654775,0.176,383
175,0,0.055,87,35,3045,8.066377342746103e-05,0.0,217
8,0,0.055,39,35,1365,0.33420130921240726,0.181,50
509,0,0.055,96,35,3360,0.0003918681519228673,0.004,551
839,0,0.055,140,35,4900,0.0033611709684577863,0.0,881
342,0,0.055,101,35,3535,0.0004610098323024645,0.0,384
176,0,0.055,51,35,1785,0.00288362995596188,0.0,218
9,0,0.055,40,35,1400,0.00018462642674067079,0.0,51
675,0,0.055,134,35,4690,0.0007342685905201863,0.0,717
510,0,0.055,59,35,2065,0.0013688768135801336,0.0,552
177,0,0.055,41,35,1435,0.006711133534795114,0.006,219
10,0,0.055,32,35,1120,0.08017821348691867,0.026,52
840,0,0.055,149,35,5215,1.0231613947013987e-06,0.0,882
676,0,0.055,89,35,3115,0.00894295831403698,0.002,718
