sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
334,0,0.055,71,35,2485,0.0046163474379724,0.0986111111111109,376
501,0,0.055,83,35,2905,0.0070809054815226,0.13899999999999998,543
668,0,0.055,55,35,1925,0.0755528251710543,0.07399999999999993,710
0,0,0.055,113,35,3955,0.0040965919102975,0.005223190702588201,42
834,0,0.055,110,35,3850,0.0450288486826824,0.11528762805358529,876
167,0,0.055,96,35,3360,0.0364200554652884,0.07985374771480781,209
669,0,0.055,36,35,1260,0.0019400610480871,0.024999999999999946,711
335,0,0.055,49,35,1715,0.0243014845974876,0.0972749691738594,377
168,0,0.055,68,35,2380,0.39745364004471,0.15299999999999978,210
502,0,0.055,119,35,4165,0.2565004172066794,0.41846668415529875,544
336,0,0.055,33,35,1155,0.2059939003407332,0.17799999999999996,378
1,0,0.055,99,35,3465,0.1765883706855793,0.09113031914893586,43
670,0,0.055,123,35,4305,0.0014140831519276,0.009999999999999743,712
503,0,0.055,36,35,1260,1.1252254783146615e-05,0.005999999999999922,545
835,0,0.055,148,35,5180,0.0026557662440312,0.30021509659430373,877
169,0,0.055,113,35,3955,0.0416595296643805,0.06420790782927435,211
337,0,0.055,75,35,2625,0.0234830876857399,0.13368535333596504,379
671,0,0.055,78,35,2730,9.223023863399038e-06,0.018999999999999836,713
504,0,0.055,42,35,1470,0.0254093058846233,0.07799999999999997,546
2,0,0.055,92,35,3220,5.430493871169355e-07,0.01633481293595431,44
170,0,0.055,49,35,1715,0.0035429316656973,0.043328437132784926,212
836,0,0.055,97,35,3395,0.1533751941542248,0.13731663145185602,878
338,0,0.055,126,35,4410,0.17788524145257,0.08393092105263138,380
672,0,0.055,89,35,3115,0.00083757617237,0.03183811407846991,714
837,0,0.055,24,35,840,0.1093323531524358,0.275,879
3,0,0.055,81,35,2835,9.568916307036227e-08,0.008068303094983867,45
171,0,0.055,52,35,1820,0.0779677775561677,0.05469115191986628,213
505,0,0.055,148,35,5180,0.0092930090495554,0.0501492537313431,547
339,0,0.055,101,35,3535,0.0105228139132243,0.2085736009732359,381
172,0,0.055,43,35,1505,0.1629220729146425,0.3279999999999999,214
4,0,0.055,59,35,2065,0.8849057841126742,0.6109345327336332,46
673,0,0.055,130,35,4550,0.0151883013083548,0.0403982749873157,715
340,0,0.055,77,35,2695,0.6171511740662188,0.638,382
838,0,0.055,126,35,4410,0.0012386722053236,0.03077237728585169,880
506,0,0.055,138,35,4830,0.0450097151178222,0.04375754961173425,548
173,0,0.055,116,35,4060,0.0003529334958102,0.009224943196162303,215
674,0,0.055,33,35,1155,0.0189936942387912,0.152,716
5,0,0.055,103,35,3605,0.0519289013613132,0.27868814055636865,47
341,0,0.055,56,35,1960,0.1557242287505746,0.23907576571735611,383
507,0,0.055,30,35,1050,0.081203348933829,0.11799999999999991,549
839,0,0.055,88,35,3080,0.404921675049656,0.35232095490716153,881
840,0,0.055,33,35,1155,0.363149434086306,0.20800000000000002,882
508,0,0.055,76,35,2660,0.1862068400051633,0.0973676012461059,550
675,0,0.055,114,35,3990,0.1527896375378507,0.23151219512195104,717
342,0,0.055,103,35,3605,4.1241971410967806e-05,0.049083140208574565,384
6,0,0.055,110,35,3850,0.0002025893925799,0.1345512311358219,48
174,0,0.055,140,35,4900,0.0001065627973129,0.0397049657178473,216
841,0,0.055,117,35,4095,0.3828403353293318,0.3376337554923749,883
509,0,0.055,57,35,1995,0.0004432540964579,0.022565552699228723,551
343,0,0.055,20,35,700,0.0034583821342341,0.014,385
676,0,0.055,84,35,2940,0.0057038319140708,0.06052337752965798,718
7,0,0.055,51,35,1785,0.3944753832916643,0.37233747880158274,49
510,0,0.055,27,35,945,0.0211032572660176,0.06299999999999993,552
842,0,0.055,48,35,1680,0.0053971924771384,0.05793103448275853,884
175,0,0.055,88,35,3080,0.0036346599328438,0.03154278163197885,217
344,0,0.055,96,35,3360,2.8224238783524867e-05,0.10899999999999971,386
843,0,0.055,61,35,2135,0.0072492602215757,0.030999999999999975,885
677,0,0.055,59,35,2065,0.0122441649846045,0.2092424987702902,719
511,0,0.055,111,35,3885,0.8236583209559956,0.29199999999999976,553
8,0,0.055,61,35,2135,0.0004725257247087,0.07106514503090806,50
176,0,0.055,93,35,3255,0.0131427272904185,0.1162129423015619,218
345,0,0.055,110,35,3850,0.0126859837752246,0.09154557463672391,387
678,0,0.055,125,35,4375,0.0011905598919544,0.16227428013665182,720
844,0,0.055,135,35,4725,0.0207887821621752,0.12841322490905172,886
9,0,0.055,51,35,1785,0.5520349683489942,0.3732546374367622,51
512,0,0.055,79,35,2765,0.7165561887372085,0.3402397123451856,554
177,0,0.055,110,35,3850,0.0002042069332307,0.015600578871200784,219
346,0,0.055,148,35,5180,6.972238782921373e-06,0.029034668881046194,388
845,0,0.055,27,35,945,0.0025611889938153,0.003999999999999969,887
679,0,0.055,103,35,3605,0.0001594382463253,0.06899999999999991,721
178,0,0.055,30,35,1050,0.4651335252521533,0.397,220
10,0,0.055,125,35,4375,1.01615341104614e-20,0.0032145481263774374,52
680,0,0.055,119,35,4165,0.0604318225990844,0.30235318107667203,722
846,0,0.055,128,35,4480,0.4050721886083034,0.15865996649916222,888
347,0,0.055,129,35,4515,0.000132480156745,0.029167966139451586,389
179,0,0.055,95,35,3325,0.9390123617103556,0.5513229634381013,221
513,0,0.055,132,35,4620,0.0259190698319553,0.19698867421718838,555
11,0,0.055,55,35,1925,0.0100608897540604,0.050999999999999816,53
514,0,0.055,38,35,1330,0.1448966644189775,0.30799999999999994,556
847,0,0.055,44,35,1540,0.6454662674897887,0.454,889
180,0,0.055,31,35,1085,0.0056687083273165,0.04899999999999995,222
681,0,0.055,48,35,1680,0.284429760650797,0.25451497005988016,723
348,0,0.055,101,35,3535,0.4155657389491534,0.3291452868261744,390
12,0,0.055,47,35,1645,0.0104850871462195,0.04374458874458868,54
848,0,0.055,28,35,980,0.0508097649495082,0.43199999999999994,890
515,0,0.055,112,35,3920,0.3150626514508714,0.16385852090032146,557
181,0,0.055,40,35,1400,0.017360345039719,0.06399999999999997,223
349,0,0.055,46,35,1610,0.0112625658432495,0.02619524405506883,391
682,0,0.055,138,35,4830,0.0002935306519632,0.03649611398963695,724
13,0,0.055,97,35,3395,0.0004006362999857,0.023088098918083333,55
350,0,0.055,25,35,875,0.3285687551864566,0.404,392
516,0,0.055,104,35,3640,0.1627302212193832,0.2093,558
849,0,0.055,125,35,4375,0.0270290282140977,0.0540380047505935,891
683,0,0.055,34,35,1190,0.1036882469148479,0.2449999999999999,725
182,0,0.055,123,35,4305,3.163451927273361e-08,0.003104567307692109,224
14,0,0.055,141,35,4935,7.307800202845745e-07,0.06299121155053351,56
850,0,0.055,22,35,770,0.0200344636631305,0.077,892
351,0,0.055,112,35,3920,0.0013224577047773,0.028553590010405822,393
851,0,0.055,30,35,1050,0.0473127584436269,0.16299999999999998,893
15,0,0.055,48,35,1680,0.052070414704212,0.2999999999999999,57
183,0,0.055,99,35,3465,0.001234233615637,0.16178571428571403,225
684,0,0.055,147,35,5145,0.1367871672648257,0.08251804330392934,726
517,0,0.055,115,35,4025,0.0002874534341569,0.10278345250255333,559
352,0,0.055,78,35,2730,0.0888146276959662,0.1192319277108433,394
685,0,0.055,39,35,1365,0.0435810259032167,0.05099999999999991,727
852,0,0.055,58,35,2030,0.012400157279124,0.0537144283574637,894
518,0,0.055,26,35,910,0.0309998497543476,0.10199999999999991,560
16,0,0.055,125,35,4375,0.0001721271156804,0.04406769735300975,58
184,0,0.055,95,35,3325,0.9120837553838188,0.27475790832795344,226
353,0,0.055,92,35,3220,0.0001390353073874,0.07628825271470871,395
853,0,0.055,59,35,2065,0.1457907755686439,0.06500737825873082,895
519,0,0.055,86,35,3010,0.7493101860072431,0.267767229254571,561
686,0,0.055,123,35,4305,3.1163445427456095e-08,0.015026178010470952,728
17,0,0.055,63,35,2205,0.1253137147831021,0.3158733826247689,59
18,0,0.055,22,35,770,0.1624548798159259,0.17699999999999994,60
185,0,0.055,93,35,3255,0.2312025529264487,0.0993731731081519,227
687,0,0.055,64,35,2240,0.4593725228854267,0.30109156517816854,729
354,0,0.055,81,35,2835,5.25193919981682e-05,0.014119530416221765,396
854,0,0.055,141,35,4935,0.0218955582225107,0.055082678792889556,896
520,0,0.055,107,35,3745,0.0007235194002474,0.44624290732234495,562
688,0,0.055,47,35,1645,0.0187082901138289,0.1149999999999999,730
186,0,0.055,79,35,2765,0.0143898573776715,0.0827322834645667,228
19,0,0.055,119,35,4165,0.000875218107209,0.03240838353413626,61
689,0,0.055,25,35,875,0.0145434015941981,0.021,731
521,0,0.055,43,35,1505,0.0148899848699786,0.07199999999999986,563
355,0,0.055,65,35,2275,0.0058721719361706,0.0761338617349185,397
855,0,0.055,126,35,4410,5.2670086590578913e-14,0.012082191780821653,897
187,0,0.055,127,35,4445,0.163731210318246,0.09946993670886066,229
522,0,0.055,32,35,1120,0.0036637633925118,0.004999999999999984,564
20,0,0.055,88,35,3080,0.0293436672063354,0.010370370370370164,62
356,0,0.055,38,35,1330,0.0755384715735219,0.02499999999999999,398
856,0,0.055,37,35,1295,0.0492602113732406,0.28,898
690,0,0.055,86,35,3010,3.9802306037811484e-08,0.0020455317703023,732
21,0,0.055,111,35,3885,0.0007991669144465,0.22610018602179108,63
523,0,0.055,81,35,2835,9.845548915425156e-15,0.0,565
691,0,0.055,36,35,1260,0.0746199162364446,0.13699999999999998,733
