sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,0.1105181913781296,14,96,1300,1.570134878055342e-05,0.000744047619047619,42
334,0,0.0309448667617835,17,79,1300,0.5070643972539323,0.36113179448994787,376
501,0,0.1672577349293582,21,62,1300,2.06045856483173e-11,0.0,543
167,0,0.0349080546030192,17,79,1300,0.03869819646852766,0.08637379002233805,209
668,0,0.0743717743585521,20,68,1300,0.006357000225580395,0.04485294117647059,710
834,0,0.1408582292498145,34,39,1300,6.894011191390737e-11,0.0,876
335,0,0.0258450809431803,14,97,1300,0.584186059194603,0.3593519882179676,377
1,0,0.1016544923503608,20,65,1300,0.0001054381321534552,0.008461538461538461,43
168,0,0.1542735156754946,21,62,1300,3.605172750416319e-13,0.0,210
502,0,0.180200095199789,34,39,1300,1.0875473183627026e-14,0.0,544
669,0,0.0962544121514778,26,51,1300,0.007784959263764151,0.06033182503770739,711
835,0,0.1621370218867206,25,53,1300,1.611723271322761e-07,0.0,877
336,0,0.0617093704682962,24,56,1300,0.0009690626988169616,0.011904761904761904,378
2,0,0.1600496743046532,22,60,1300,1.945790870286233e-07,0.0,44
169,0,0.0963054647984429,29,46,1300,1.5362836350368967e-07,0.0,211
503,0,0.1872165275647647,34,39,1300,2.018031608982232e-13,0.0,545
836,0,0.1147093311410187,23,57,1300,2.4476745664469516e-05,0.0007627765064836003,878
670,0,0.0832882741182516,15,88,1300,0.01252797397008832,0.038636363636363635,712
3,0,0.1196960499651368,31,42,1300,2.9694525073719025e-15,0.0,45
337,0,0.1827479406746997,16,82,1300,3.430193222697634e-11,0.0,379
170,0,0.0773996980697997,19,71,1300,0.012049216918373535,0.05559673832468495,212
504,0,0.0548874782533665,23,57,1300,3.275174509457594e-05,0.002288329519450801,546
671,0,0.0340129169568119,49,27,1300,0.0010442100395989212,0.01889644746787604,713
837,0,0.1855480768232868,26,50,1300,1.0321048713248414e-13,0.0,879
4,0,0.0890905897148159,28,47,1300,0.0010718636438948636,0.014437689969604863,46
338,0,0.1839851155438942,22,61,1300,6.282843413511888e-07,0.0,380
171,0,0.1096025378741944,17,78,1300,7.641589784030367e-07,0.0,213
505,0,0.1358625772241551,41,32,1300,3.350713389682268e-09,0.0,547
672,0,0.0630228766972658,14,99,1300,0.11622775751544462,0.15800865800865802,714
838,0,0.1130694377799123,60,22,1300,7.930927701466008e-05,0.003787878787878788,880
5,0,0.0239930173781926,21,62,1300,0.042245221497529316,0.12980030721966207,47
339,0,0.1619927339613787,25,52,1300,2.3951184857178047e-07,0.0007692307692307692,381
172,0,0.1455809215513896,35,38,1300,4.1218426818593756e-10,0.0,214
506,0,0.1467224322530314,87,15,1300,6.009514916262965e-07,0.0007662835249042146,548
673,0,0.1037825297075493,45,29,1300,3.870198699580079e-07,0.0,715
839,0,0.0878965566677019,19,69,1300,8.173906295090745e-05,0.013729977116704805,881
6,0,0.1286694617025048,16,83,1300,1.818643827940419e-05,0.0015060240963855422,48
340,0,0.072704512003569,14,96,1300,0.12971869460542812,0.15997023809523808,382
173,0,0.0842071066080122,14,99,1300,3.9617821446197464e-05,0.0007215007215007215,215
507,0,0.1668415775962821,15,90,1300,2.9416462248637038e-12,0.0,549
674,0,0.1936853529910704,77,17,1300,1.8573956265699516e-08,0.0,716
840,0,0.1513653268623864,38,35,1300,1.0984096416163406e-06,0.0007518796992481203,882
7,0,0.0286101039323232,28,47,1300,0.09956290215087049,0.1458966565349544,49
341,0,0.0466636196468635,15,90,1300,0.35296629887659464,0.277037037037037,383
174,0,0.0757741407883784,44,30,1300,0.004443154309936342,0.02803030303030303,216
508,0,0.096892363605167,69,19,1300,5.0513257586911276e-05,0.0038138825324180014,550
675,0,0.1487750952898182,37,36,1300,1.8083332752794884e-08,0.0,717
841,0,0.166480048428829,24,55,1300,1.2617402411905361e-07,0.0,883
8,0,0.1785747287529955,62,21,1300,3.356508069507476e-10,0.0,50
342,0,0.1871225475201464,29,46,1300,4.7122635965454675e-08,0.0007496251874062968,384
175,0,0.0286310575188397,73,18,1300,0.16939799068423878,0.21689497716894976,217
509,0,0.023397001752108,119,11,1300,0.8753156596134335,0.5729564553093965,551
676,0,0.1044262825933406,119,11,1300,0.0008149741242263417,0.014514896867838044,718
9,0,0.0873021691584957,44,30,1300,0.001705815385323169,0.031818181818181815,51
842,0,0.1398175590445082,87,15,1300,1.3923195614534803e-05,0.0030651340996168583,884
343,0,0.1946231240749186,50,26,1300,1.753067220178595e-08,0.0,385
510,0,0.0720462200450511,16,86,1300,0.007868641355985037,0.030523255813953487,552
176,0,0.1716813293567539,119,11,1300,2.3977694292522476e-11,0.0,218
677,0,0.1098235802256436,18,73,1300,1.500952792415842e-08,0.0,719
10,0,0.0227234692040133,20,68,1300,0.38768404587646504,0.3522058823529412,52
843,0,0.0519543672456254,20,67,1300,0.10670785826876084,0.1582089552238806,885
