sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval
0,0,0.055,62,21,1300,0.1911918483172567,0.27557603686635945
501,0,0.055,55,24,1300,1.3644674847476508e-06,0.0
167,0,0.055,60,22,1300,0.0088982795306191,0.08666666666666657
334,0,0.055,14,99,1300,0.0528154450041344,0.1369408369408369
668,0,0.055,24,56,1300,0.068736960235425,0.161532738095238
834,0,0.055,73,18,1300,0.0007517918851854,0.0069254185692541196
1,0,0.055,39,34,1300,0.0322673324121566,0.1117647058823529
502,0,0.055,36,37,1300,0.001261768076632,0.03220720720720711
335,0,0.055,42,31,1300,0.0196318126555327,0.07089093701996917
168,0,0.055,17,80,1300,0.0109151736514439,0.04397058823529411
669,0,0.055,17,79,1300,0.2461468548907436,0.32040208488458666
835,0,0.055,29,46,1300,0.8922614192505811,0.7532983508245877
2,0,0.055,23,57,1300,0.0846024885000182,0.12990083905415709
503,0,0.055,19,69,1300,0.0504523335951984,0.11700991609458423
336,0,0.055,18,74,1300,0.0042806476657994,0.04782282282282271
169,0,0.055,37,36,1300,0.6219453436266977,0.5289789789789789
670,0,0.055,29,46,1300,0.3924972431004336,0.43658170914542727
836,0,0.055,34,39,1300,0.0013942397909742,0.03333333333333328
3,0,0.055,73,18,1300,0.0103588007615413,0.06727549467275494
504,0,0.055,100,13,1300,0.0198059351801575,0.065
337,0,0.055,14,94,1300,3.8357097965230585e-05,0.00098784194528864
170,0,0.055,26,50,1300,0.1026863998060936,0.24299999999999994
837,0,0.055,17,81,1300,0.0014344042573052,0.01227305737109647
671,0,0.055,14,98,1300,0.0737201710147564,0.1790816326530612
4,0,0.055,21,62,1300,0.2648201049368565,0.33548387096774185
338,0,0.055,14,98,1300,9.331965152104e-06,0.00284256559766751
505,0,0.055,15,92,1300,0.08542264211273,0.18275362318840577
171,0,0.055,18,76,1300,0.0112741683303237,0.07507309941520468
838,0,0.055,19,69,1300,0.020687221896689,0.09618611746758196
672,0,0.055,47,28,1300,0.1210809018837577,0.29141337386018235
5,0,0.055,15,90,1300,0.0037163173902375,0.052
506,0,0.055,44,30,1300,0.0140703845028964,0.0699242424242423
339,0,0.055,28,47,1300,0.7622367390205503,0.6766717325227963
172,0,0.055,28,47,1300,0.0037691363017905,0.045440729483282635
839,0,0.055,14,94,1300,0.5360686826275337,0.5324468085106383
673,0,0.055,17,80,1300,0.0155948968268743,0.0764705882352941
6,0,0.055,109,12,1300,1.4985137131765165e-05,0.00397553516819563
507,0,0.055,34,39,1300,0.108835093974993,0.1852941176470588
340,0,0.055,57,23,1300,0.0596605511702406,0.13981693363844389
173,0,0.055,16,85,1300,0.0057680651901275,0.039191176470588215
840,0,0.055,24,55,1300,0.038481573115003,0.10734848484848475
