sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,0.1003552937678839,26,35,910,0.0017396244558965151,0.03626373626373627,42
668,0,0.1498596127931483,25,35,875,0.0002032160882906631,0.0034285714285714284,710
501,0,0.1215374619296461,57,35,1995,1.7666936480606522e-05,0.0015037593984962407,543
334,0,0.1880419164284419,63,35,2205,1.9164205396555333e-17,0.0,376
167,0,0.0841037924572305,64,35,2240,0.0008948133989908531,0.01830357142857143,209
834,0,0.0928537680703096,46,35,1610,1.274562386183665e-06,0.0012422360248447205,876
1,0,0.0737907332990473,48,35,1680,0.009276009856104722,0.0380952380952381,43
669,0,0.1041255784697499,41,35,1435,0.0003176973647478974,0.006968641114982578,711
168,0,0.1128922635223511,16,35,560,0.0006375694953180877,0.0017857142857142857,210
335,0,0.0299134016468766,22,35,770,0.43481297328568747,0.5753246753246753,377
835,0,0.1525440241914104,36,35,1260,1.9310548021235124e-11,0.0,877
502,0,0.0831672244488029,64,35,2240,0.04344849924839449,0.07544642857142857,544
2,0,0.1859880945881035,62,35,2170,3.269937737292856e-13,0.0,44
670,0,0.1157853736824481,15,35,525,0.0005627534297251327,0.005714285714285714,712
336,0,0.1492718671612739,19,35,665,1.4042009972955213e-09,0.0,378
169,0,0.0386859941217301,29,35,1015,0.8130347317421349,0.7408866995073892,211
836,0,0.0834011400301899,46,35,1610,0.22662824702441436,0.1565217391304348,878
503,0,0.1051766998263811,46,35,1610,0.08390650518487491,0.16521739130434782,545
3,0,0.1428699773387357,33,35,1155,2.7235649254389383e-05,0.0008658008658008658,45
671,0,0.0590025952666912,50,35,1750,0.0050556978487466915,0.06571428571428571,713
337,0,0.1810941657518315,29,35,1015,2.884738796672457e-08,0.0,379
170,0,0.0732269689683288,36,35,1260,0.028987831305123536,0.06904761904761905,212
837,0,0.0933465308914084,69,35,2415,1.1561119024043228e-07,0.0016563146997929607,879
504,0,0.0409963634297677,57,35,1995,0.001136461839348014,0.018546365914786967,546
4,0,0.0711739707835462,44,35,1540,7.007300562190953e-05,0.01038961038961039,46
672,0,0.1311852048087926,32,35,1120,2.606582938359138e-09,0.0,714
338,0,0.039970209538236,42,35,1470,0.249001387549522,0.23809523809523808,380
171,0,0.159185867315739,47,35,1645,3.3111002825564857e-07,0.0024316109422492403,213
838,0,0.1348399499176499,23,35,805,1.654906955894316e-05,0.0012422360248447205,880
505,0,0.0774101085419951,54,35,1890,6.29774011255081e-05,0.007407407407407408,547
673,0,0.1466386728306662,18,35,630,0.0003570726718973896,0.004761904761904762,715
5,0,0.123987776554382,61,35,2135,3.705923151458523e-11,0.000468384074941452,47
339,0,0.0484331019335634,24,35,840,0.0017453154804050585,0.01904761904761905,381
172,0,0.1389648611552986,47,35,1645,2.5825935515597503e-12,0.0,214
839,0,0.1194989686578103,30,35,1050,0.0006697336283406986,0.004761904761904762,881
506,0,0.1298746878281934,61,35,2135,1.9912775224615894e-05,0.005152224824355972,548
674,0,0.0627580151456569,53,35,1855,0.2926276642202361,0.17466307277628032,716
6,0,0.1562597238869376,69,35,2415,2.5435518355081395e-19,0.0,48
340,0,0.0971398944219094,62,35,2170,1.2924557612074655e-06,0.0018433179723502304,382
173,0,0.0738124722370302,48,35,1680,0.0006138950242074457,0.017261904761904763,215
840,0,0.071146283614816,37,35,1295,0.010381232949427737,0.04633204633204633,882
507,0,0.0306248669407099,46,35,1610,0.08773044190321916,0.1496894409937888,549
675,0,0.0701200667376101,24,35,840,0.00013946397756655588,0.002380952380952381,717
341,0,0.0642287644932444,22,35,770,0.4446294615663411,0.5298701298701298,383
841,0,0.0321547408283733,20,35,700,0.038004667925632105,0.15142857142857144,883
7,0,0.0808235152503612,67,35,2345,0.0009518303502760261,0.012366737739872069,49
174,0,0.0443450250190808,47,35,1645,0.00958851202488749,0.052279635258358666,216
676,0,0.072052372962023,19,35,665,0.00020061590443445795,0.004511278195488722,718
508,0,0.1489659878126685,31,35,1085,0.004194551882750904,0.047004608294930875,550
842,0,0.1561383101409038,37,35,1295,2.2734503413666777e-06,0.0,884
342,0,0.062515207301416,50,35,1750,0.002806435937543892,0.04914285714285714,384
8,0,0.0948006543767471,16,35,560,0.07119816234341243,0.20714285714285716,50
509,0,0.1502593358190209,31,35,1085,4.560982029510443e-09,0.0,551
175,0,0.114756052590908,68,35,2380,3.4031207862296145e-09,0.0,217
677,0,0.1827842869557169,33,35,1155,5.555633411016537e-08,0.0,719
9,0,0.0897574172410676,17,35,595,0.018942067063924536,0.07899159663865546,51
843,0,0.0284820380321549,61,35,2135,0.024738014825953707,0.0468384074941452,885
343,0,0.0404124735736854,43,35,1505,0.0037371683370323273,0.04584717607973422,385
510,0,0.133986317263107,28,35,980,1.0618560827392026e-05,0.0,552
176,0,0.157712302933305,20,35,700,0.005853605062886413,0.014285714285714285,218
678,0,0.1010606186710487,43,35,1505,1.7828992482137868e-07,0.00132890365448505,720
10,0,0.0397595177176633,29,35,1015,0.3530714696361156,0.33399014778325126,52
844,0,0.0511043208859217,22,35,770,0.35203331743788613,0.5155844155844156,886
344,0,0.1282279065518413,32,35,1120,0.0013634906560860331,0.026785714285714284,386
511,0,0.0512545135174501,22,35,770,0.10152453224670399,0.2753246753246753,553
679,0,0.1327238439168183,24,35,840,0.00010332931824265544,0.004761904761904762,721
177,0,0.1863191453878781,27,35,945,4.291566036763155e-09,0.0,219
11,0,0.0484967831896871,21,35,735,0.03038815170929963,0.11020408163265306,53
512,0,0.161637948654149,19,35,665,0.0007144223010159595,0.03759398496240601,554
845,0,0.1115111332915288,65,35,2275,5.738568809450633e-12,0.0,887
178,0,0.0726848513987039,35,35,1225,0.050374854816650376,0.07591836734693877,220
345,0,0.1034452734740826,61,35,2135,1.6931297665515447e-05,0.004215456674473068,387
680,0,0.0575477842007476,46,35,1610,0.0024127512039139624,0.02236024844720497,722
12,0,0.193106016878289,30,35,1050,8.268497430597573e-12,0.0,54
513,0,0.0753307249524983,44,35,1540,1.762106303189477e-06,0.0006493506493506494,555
179,0,0.0960285788364601,15,35,525,0.00230023896225243,0.02857142857142857,221
681,0,0.0954496257822264,33,35,1155,0.00028785905981210027,0.012121212121212121,723
846,0,0.0255118201044605,58,35,2030,0.04471947909451929,0.11379310344827587,888
346,0,0.1068468821560946,58,35,2030,7.123058520664394e-09,0.0,388
13,0,0.0658846845720606,58,35,2030,0.05414833152858758,0.08916256157635467,55
514,0,0.143885359629718,69,35,2415,2.4505591604419765e-08,0.002070393374741201,556
682,0,0.0396744583719249,50,35,1750,0.40462266718054896,0.26171428571428573,724
847,0,0.0792246255001742,26,35,910,0.02669632488675336,0.0956043956043956,889
180,0,0.1014118023106072,50,35,1750,4.3966225543929557e-07,0.0,222
347,0,0.0428465028390461,59,35,2065,0.009038013749884014,0.06246973365617434,389
