sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval
0,0,0.055,62,21,1300,0.19119184831725677,0.2119815668202765
501,0,0.055,55,24,1300,1.3644674847476508e-06,0.0
167,0,0.055,60,22,1300,0.008898279530619174,0.06666666666666667
334,0,0.055,14,99,1300,0.052815445004134445,0.10533910533910534
668,0,0.055,24,56,1300,0.06873696023542508,0.12425595238095238
834,0,0.055,73,18,1300,0.0007517918851854125,0.00532724505327245
1,0,0.055,39,34,1300,0.03226733241215663,0.08597285067873303
502,0,0.055,36,37,1300,0.0012617680766320338,0.024774774774774775
335,0,0.055,42,31,1300,0.01963181265553272,0.054531490015360985
168,0,0.055,17,80,1300,0.010915173651443951,0.033823529411764704
669,0,0.055,17,79,1300,0.24614685489074367,0.24646314221891288
835,0,0.055,29,46,1300,0.8922614192505811,0.5794602698650675
2,0,0.055,23,57,1300,0.08460248850001828,0.09992372234935164
503,0,0.055,19,69,1300,0.05045233359519842,0.09000762776506484
336,0,0.055,18,74,1300,0.004280647665799452,0.03678678678678678
169,0,0.055,37,36,1300,0.6219453436266977,0.4069069069069069
670,0,0.055,29,46,1300,0.39249724310043366,0.335832083958021
836,0,0.055,34,39,1300,0.001394239790974222,0.02564102564102564
3,0,0.055,73,18,1300,0.01035880076154134,0.0517503805175038
504,0,0.055,100,13,1300,0.01980593518015758,0.05
337,0,0.055,14,94,1300,3.8357097965230585e-05,0.0007598784194528875
170,0,0.055,26,50,1300,0.10268639980609362,0.18692307692307691
837,0,0.055,17,81,1300,0.001434404257305283,0.00944081336238199
671,0,0.055,14,98,1300,0.07372017101475643,0.1377551020408163
4,0,0.055,21,62,1300,0.26482010493685654,0.25806451612903225
338,0,0.055,14,98,1300,9.331965152104e-06,0.002186588921282799
505,0,0.055,15,92,1300,0.08542264211273004,0.14057971014492754
171,0,0.055,18,76,1300,0.011274168330323788,0.0577485380116959
838,0,0.055,19,69,1300,0.02068722189668902,0.07398932112890923
672,0,0.055,47,28,1300,0.12108090188375775,0.22416413373860183
5,0,0.055,15,90,1300,0.0037163173902375994,0.04
506,0,0.055,44,30,1300,0.014070384502896433,0.05378787878787879
339,0,0.055,28,47,1300,0.7622367390205503,0.520516717325228
172,0,0.055,28,47,1300,0.0037691363017905324,0.034954407294832825
839,0,0.055,14,94,1300,0.5360686826275337,0.4095744680851064
673,0,0.055,17,80,1300,0.015594896826874323,0.058823529411764705
6,0,0.055,109,12,1300,1.4985137131765165e-05,0.0030581039755351682
507,0,0.055,34,39,1300,0.10883509397499302,0.1425339366515837
340,0,0.055,57,23,1300,0.059660551170240626,0.10755148741418764
173,0,0.055,16,85,1300,0.005768065190127594,0.030147058823529412
840,0,0.055,24,55,1300,0.03848157311500305,0.08257575757575758
674,0,0.055,32,41,1300,0.26523453232730176,0.23170731707317074
7,0,0.055,21,62,1300,0.002904338981136948,0.018433179723502304
174,0,0.055,20,66,1300,0.06668727270985726,0.13257575757575757
341,0,0.055,37,36,1300,0.035057724088370136,0.08333333333333333
508,0,0.055,14,96,1300,0.00024619196132621935,0.003720238095238095
841,0,0.055,26,50,1300,0.017119685060409888,0.0876923076923077
8,0,0.055,62,21,1300,0.010929554424728065,0.03917050691244239
675,0,0.055,27,49,1300,0.0004901195417730975,0.008314436885865457
175,0,0.055,18,74,1300,0.06430451731140471,0.11336336336336336
342,0,0.055,23,57,1300,0.0014087756059532697,0.03813882532418002
509,0,0.055,24,56,1300,4.1164236612887426e-05,0.0
676,0,0.055,21,63,1300,0.3038040503306111,0.2275132275132275
9,0,0.055,35,38,1300,0.00011276012864309621,0.006766917293233083
842,0,0.055,119,11,1300,0.211116146848355,0.19862490450725745
176,0,0.055,69,19,1300,0.052117965459575574,0.05034324942791762
343,0,0.055,15,88,1300,0.3168400031220749,0.3068181818181818
510,0,0.055,20,65,1300,0.20073841460652392,0.22153846153846155
10,0,0.055,15,87,1300,0.28853106205578305,0.23908045977011494
677,0,0.055,35,38,1300,2.4210286515971823e-05,0.0030075187969924814
843,0,0.055,36,37,1300,0.002110527465489443,0.02177177177177177
177,0,0.055,17,78,1300,0.018243930036890756,0.07088989441930618
344,0,0.055,60,22,1300,0.0015974761599182978,0.024242424242424242
511,0,0.055,22,61,1300,0.0008854817867141993,0.014157973174366617
678,0,0.055,15,91,1300,0.5446661785277208,0.40293040293040294
11,0,0.055,77,17,1300,0.00869002087773608,0.0427807486631016
844,0,0.055,21,64,1300,0.06734988635577363,0.11458333333333333
178,0,0.055,23,58,1300,0.0063028375022040044,0.022488755622188907
345,0,0.055,35,38,1300,0.00182036724817546,0.016541353383458645
512,0,0.055,23,58,1300,0.002427688550907762,0.035982008995502246
679,0,0.055,16,85,1300,0.016402679276657287,0.08014705882352942
12,0,0.055,21,62,1300,0.6665754997097667,0.4500768049155146
845,0,0.055,16,86,1300,0.019707833554561734,0.053052325581395346
346,0,0.055,15,91,1300,0.02380226806767998,0.09523809523809523
