,corpus,model,topic,rater,intrusion,confidence
0,wikitext,mallet,7,9,1,1
1,wikitext,mallet,7,13,1,1
2,wikitext,mallet,7,16,1,1
3,wikitext,mallet,7,21,1,1
4,wikitext,mallet,7,22,1,1
5,wikitext,mallet,7,28,1,1
6,wikitext,mallet,7,31,1,1
7,wikitext,mallet,7,32,1,1
8,wikitext,mallet,7,34,1,1
9,wikitext,mallet,7,40,1,1
10,wikitext,mallet,7,46,1,1
11,wikitext,mallet,7,51,1,1
12,wikitext,mallet,7,61,1,1
13,wikitext,mallet,7,63,1,1
14,wikitext,mallet,7,66,1,1
15,wikitext,mallet,7,70,1,1
16,wikitext,mallet,7,71,1,1
17,wikitext,mallet,7,73,1,1
18,wikitext,mallet,7,78,1,1
19,wikitext,mallet,7,84,1,1
20,wikitext,mallet,7,86,0,1
21,wikitext,mallet,7,88,1,1
22,wikitext,mallet,7,91,1,1
23,wikitext,mallet,7,92,1,1
24,wikitext,mallet,7,95,1,1
25,wikitext,mallet,7,96,1,1
26,wikitext,mallet,7,97,1,1
27,wikitext,mallet,7,98,1,1
28,wikitext,mallet,7,104,1,1
29,wikitext,mallet,7,109,1,1
30,wikitext,mallet,7,124,1,1
31,wikitext,mallet,7,125,1,1
32,wikitext,mallet,7,127,1,1
33,wikitext,mallet,7,128,1,1
34,wikitext,mallet,7,129,1,1
35,wikitext,mallet,7,132,1,1
36,wikitext,mallet,7,136,1,0
37,wikitext,mallet,7,137,0,1
38,wikitext,mallet,7,143,1,1
39,wikitext,mallet,7,152,1,1
40,wikitext,mallet,7,153,1,1
41,wikitext,mallet,7,157,1,1
42,wikitext,mallet,7,159,1,1
43,wikitext,mallet,41,4,1,1
44,wikitext,mallet,41,6,1,1
45,wikitext,mallet,41,9,0,0
46,wikitext,mallet,41,10,1,1
47,wikitext,mallet,41,11,0,1
48,wikitext,mallet,41,13,0,0
49,wikitext,mallet,41,18,1,1
50,wikitext,mallet,41,20,1,1
51,wikitext,mallet,41,22,1,1
52,wikitext,mallet,41,24,1,1
53,wikitext,mallet,41,27,1,1
54,wikitext,mallet,41,30,0,1
55,wikitext,mallet,41,31,0,1
56,wikitext,mallet,41,33,0,1
57,wikitext,mallet,41,40,0,1
58,wikitext,mallet,41,41,1,1
59,wikitext,mallet,41,54,1,1
60,wikitext,mallet,41,57,0,1
61,wikitext,mallet,41,59,0,1
62,wikitext,mallet,41,61,0,1
63,wikitext,mallet,41,62,0,1
64,wikitext,mallet,41,63,1,1
65,wikitext,mallet,41,70,1,1
66,wikitext,mallet,41,73,1,1
67,wikitext,mallet,41,75,0,1
68,wikitext,mallet,41,83,0,1
69,wikitext,mallet,41,87,1,1
70,wikitext,mallet,41,88,0,1
71,wikitext,mallet,41,100,1,1
72,wikitext,mallet,41,106,0,1
73,wikitext,mallet,41,111,0,1
74,wikitext,mallet,41,112,1,1
75,wikitext,mallet,41,115,1,1
