,0,1,c_sigma,a_sigma
0,15,189,0.3646977336163516,0.0663719545055659
0,31,47,0.1383023885274714,0.061197322841145
0,52,31,0.1471334588577922,0.3890928423528924
0,90,56,0.1258768124225215,0.1090915428749325
0,0,0,0.0161460940257886,0.1036991722153294
0,0,0,0.018666887786812,0.1909737427947829
0,18,54,0.1056782909322187,0.0616340877986899
0,0,0,0.0126439858867249,0.6318977124126398
0,29,11,0.1914411314365882,0.010483937116333
0,86,8,0.0418853465338441,0.2136277005131906
0,4,100,0.8975407037742879,0.022456299516548536
